work_order_id,sales_order_id,sku_id,factory_id,planned_qty,planned_start_date,scenario
WO000191,SO00548,SKU0023,F1,116,2025-02-18,after
WO000192,SO00322,SKU0024,F1,79,2025-02-22,after
WO000193,SO00152,SKU0017,F2,49,2025-02-19,after
WO000194,SO00653,SKU0024,F1,81,2025-02-21,after
WO000195,SO00395,SKU0018,F1,187,2025-02-20,after
WO000196,SO00240,SKU0007,F1,72,2025-02-22,after
WO000197,SO00335,SKU0023,F1,136,2025-02-19,after
WO000198,SO00384,SKU0010,F1,217,2025-02-23,after
WO000199,SO00372,SKU0008,F2,72,2025-02-21,after
WO000200,SO00515,SKU0002,F1,63,2025-02-21,after
WO000201,SO00313,SKU0001,F1,94,2025-02-25,after
WO000202,SO00500,SKU0013,F1,137,2025-02-22,after
WO000203,SO00163,SKU0012,F2,58,2025-02-26,after
WO000204,SO00420,SKU0027,F2,49,2025-02-24,after
WO000205,SO00600,SKU0029,F1,119,2025-02-22,after
WO000206,SO00112,SKU0016,F2,40,2025-02-22,after
WO000207,SO00295,SKU0025,F1,32,2025-02-24,after
WO000208,SO00033,SKU0025,F1,158,2025-02-23,after
WO000209,SO00124,SKU0016,F2,96,2025-02-21,after
WO000210,SO00588,SKU0017,F2,255,2025-02-24,after
WO000211,SO00438,SKU0021,F2,125,2025-02-22,after
WO000212,SO00392,SKU0017,F2,94,2025-02-25,after
WO000213,SO00513,SKU0021,F2,38,2025-02-23,after
WO000214,SO00614,SKU0001,F1,96,2025-02-28,after
WO000215,SO00587,SKU0001,F1,148,2025-02-26,after
WO000216,SO00587,SKU0001,F1,150,2025-02-26,after
WO000217,SO00341,SKU0004,F1,258,2025-02-27,after
WO000218,SO00214,SKU0026,F2,89,2025-02-22,after
WO000219,SO00027,SKU0002,F1,52,2025-02-26,after
WO000220,SO00344,SKU0030,F1,86,2025-02-23,after
WO000221,SO00106,SKU0010,F1,107,2025-02-27,after
WO000222,SO00462,SKU0007,F1,113,2025-02-28,after
WO000223,SO00645,SKU0023,F1,227,2025-03-05,after
WO000224,SO00303,SKU0022,F1,44,2025-02-28,after
WO000225,SO00570,SKU0023,F1,164,2025-02-26,after
WO000226,SO00083,SKU0016,F2,28,2025-02-27,after
WO000227,SO00125,SKU0011,F1,135,2025-03-02,after
WO000228,SO00484,SKU0026,F2,89,2025-02-26,after
WO000229,SO00416,SKU0001,F1,53,2025-02-25,after
WO000230,SO00621,SKU0010,F1,123,2025-03-02,after
WO000231,SO00696,SKU0024,F1,161,2025-03-02,after
WO000232,SO00339,SKU0015,F1,151,2025-02-27,after
WO000233,SO00618,SKU0007,F1,101,2025-02-28,after
WO000234,SO00660,SKU0010,F1,65,2025-03-02,after
WO000235,SO00466,SKU0030,F1,33,2025-03-03,after
WO000236,SO00530,SKU0010,F1,146,2025-03-02,after
WO000237,SO00590,SKU0029,F1,349,2025-03-01,after
WO000238,SO00478,SKU0008,F2,31,2025-02-28,after
WO000239,SO00422,SKU0017,F2,102,2025-03-05,after
WO000240,SO00002,SKU0013,F1,168,2025-03-05,after
WO000241,SO00325,SKU0001,F1,89,2025-03-05,after
WO000242,SO00495,SKU0009,F1,208,2025-03-04,after
WO000243,SO00363,SKU0018,F1,310,2025-03-03,after
WO000244,SO00507,SKU0005,F2,117,2025-03-05,after
WO000245,SO00256,SKU0014,F1,74,2025-03-04,after
WO000246,SO00667,SKU0024,F1,211,2025-03-03,after
WO000247,SO00483,SKU0018,F1,158,2025-03-06,after
WO000248,SO00252,SKU0014,F1,76,2025-03-04,after
WO000249,SO00287,SKU0026,F2,99,2025-03-04,after
WO000250,SO00220,SKU0028,F2,143,2025-03-02,after
WO000251,SO00007,SKU0023,F1,167,2025-03-05,after
WO000252,SO00487,SKU0028,F2,145,2025-03-06,after
WO000253,SO00212,SKU0018,F1,108,2025-03-07,after
WO000254,SO00147,SKU0026,F2,158,2025-03-11,after
WO000255,SO00127,SKU0006,F2,67,2025-03-06,after
WO000256,SO00140,SKU0014,F1,40,2025-03-08,after
WO000257,SO00326,SKU0006,F2,87,2025-03-12,after
WO000258,SO00010,SKU0002,F1,161,2025-03-10,after
WO000259,SO00501,SKU0021,F2,58,2025-03-09,after
WO000260,SO00298,SKU0022,F1,50,2025-03-06,after
WO000261,SO00534,SKU0013,F1,168,2025-03-09,after
WO000262,SO00455,SKU0005,F2,107,2025-03-07,after
WO000263,SO00401,SKU0024,F1,46,2025-03-08,after
WO000264,SO00381,SKU0019,F2,29,2025-03-08,after
WO000265,SO00091,SKU0015,F1,72,2025-03-09,after
WO000266,SO00523,SKU0020,F2,55,2025-03-07,after
WO000267,SO00367,SKU0011,F1,158,2025-03-07,after
WO000268,SO00632,SKU0005,F2,93,2025-03-09,after
WO000269,SO00398,SKU0016,F2,251,2025-03-09,after
WO000270,SO00554,SKU0018,F1,62,2025-03-10,after
WO000271,SO00253,SKU0019,F2,96,2025-03-14,after
WO000272,SO00109,SKU0016,F2,63,2025-03-10,after
WO000273,SO00517,SKU0010,F1,290,2025-03-10,after
WO000274,SO00084,SKU0002,F1,197,2025-03-12,after
WO000275,SO00284,SKU0006,F2,263,2025-03-09,after
WO000276,SO00272,SKU0003,F2,90,2025-03-13,after
WO000277,SO00461,SKU0030,F1,167,2025-03-12,after
WO000278,SO00264,SKU0016,F2,82,2025-03-11,after
WO000279,SO00364,SKU0026,F2,124,2025-03-18,after
WO000280,SO00072,SKU0024,F1,94,2025-03-15,after
WO000281,SO00187,SKU0003,F2,80,2025-03-15,after
WO000282,SO00331,SKU0006,F2,110,2025-03-14,after
WO000283,SO00541,SKU0023,F1,338,2025-03-11,after
WO000284,SO00504,SKU0021,F2,54,2025-03-14,after
WO000285,SO00301,SKU0013,F1,122,2025-03-13,after
WO000286,SO00134,SKU0017,F2,150,2025-03-13,after
WO000287,SO00296,SKU0020,F2,389,2025-03-18,after
WO000288,SO00498,SKU0015,F1,204,2025-03-17,after
WO000289,SO00406,SKU0009,F1,62,2025-03-17,after
WO000290,SO00595,SKU0010,F1,38,2025-03-16,after
WO000291,SO00130,SKU0016,F2,70,2025-03-13,after
WO000292,SO00034,SKU0004,F1,217,2025-03-20,after
WO000293,SO00470,SKU0008,F2,147,2025-03-18,after
WO000294,SO00312,SKU0017,F2,85,2025-03-14,after
WO000295,SO00097,SKU0013,F1,240,2025-03-18,after
WO000296,SO00342,SKU0008,F2,184,2025-03-19,after
WO000297,SO00237,SKU0025,F1,264,2025-03-18,after
WO000298,SO00472,SKU0010,F1,32,2025-03-22,after
WO000299,SO00527,SKU0030,F1,108,2025-03-16,after
WO000300,SO00039,SKU0005,F2,142,2025-03-15,after
WO000301,SO00362,SKU0017,F2,322,2025-03-15,after
WO000302,SO00206,SKU0015,F1,131,2025-03-21,after
WO000303,SO00531,SKU0021,F2,214,2025-03-17,after
WO000304,SO00013,SKU0025,F1,193,2025-03-23,after
WO000305,SO00623,SKU0020,F2,56,2025-03-17,after
WO000306,SO00050,SKU0012,F2,63,2025-03-21,after
WO000307,SO00075,SKU0017,F2,224,2025-03-22,after
WO000308,SO00040,SKU0007,F1,36,2025-03-20,after
WO000309,SO00423,SKU0010,F1,141,2025-03-24,after
WO000310,SO00488,SKU0002,F1,85,2025-03-20,after
WO000311,SO00290,SKU0011,F1,261,2025-03-23,after
WO000312,SO00161,SKU0014,F1,108,2025-03-27,after
WO000313,SO00094,SKU0001,F1,107,2025-03-23,after
WO000314,SO00698,SKU0029,F1,210,2025-03-22,after
WO000315,SO00184,SKU0009,F1,184,2025-03-23,after
WO000316,SO00149,SKU0018,F1,75,2025-03-23,after
WO000317,SO00592,SKU0017,F2,90,2025-03-24,after
WO000318,SO00536,SKU0007,F1,93,2025-03-23,after
WO000319,SO00512,SKU0023,F1,86,2025-03-25,after
WO000320,SO00166,SKU0015,F1,202,2025-03-23,after
WO000321,SO00265,SKU0029,F1,162,2025-03-24,after
WO000322,SO00526,SKU0012,F2,123,2025-03-25,after
WO000323,SO00679,SKU0024,F1,56,2025-03-23,after
WO000324,SO00437,SKU0028,F2,63,2025-03-27,after
WO000325,SO00639,SKU0024,F1,188,2025-03-23,after
WO000326,SO00328,SKU0023,F1,209,2025-03-28,after
WO000327,SO00421,SKU0014,F1,109,2025-03-24,after
WO000328,SO00607,SKU0027,F2,30,2025-03-24,after
WO000329,SO00627,SKU0011,F1,169,2025-03-29,after
WO000330,SO00657,SKU0011,F1,93,2025-03-28,after
WO000331,SO00580,SKU0024,F1,147,2025-03-31,after
WO000332,SO00670,SKU0027,F2,73,2025-03-27,after
WO000333,SO00167,SKU0025,F1,274,2025-03-30,after
WO000334,SO00656,SKU0026,F2,149,2025-03-31,after
WO000335,SO00343,SKU0030,F1,20,2025-03-26,after
WO000336,SO00630,SKU0029,F1,65,2025-03-28,after
WO000337,SO00309,SKU0022,F1,65,2025-03-26,after
WO000338,SO00585,SKU0027,F2,126,2025-03-30,after
WO000339,SO00032,SKU0030,F1,123,2025-03-27,after
WO000340,SO00452,SKU0018,F1,96,2025-03-30,after
WO000341,SO00429,SKU0020,F2,80,2025-03-29,after
WO000342,SO00382,SKU0007,F1,216,2025-04-04,after
WO000343,SO00180,SKU0016,F2,73,2025-04-03,after
WO000344,SO00251,SKU0025,F1,195,2025-04-02,after
WO000345,SO00132,SKU0017,F2,98,2025-04-04,after
WO000346,SO00582,SKU0024,F1,132,2025-04-03,after
WO000347,SO00555,SKU0001,F1,83,2025-04-03,after
WO000348,SO00069,SKU0010,F1,89,2025-04-01,after
WO000349,SO00552,SKU0019,F2,269,2025-04-02,after
WO000350,SO00642,SKU0008,F2,95,2025-03-31,after
WO000351,SO00183,SKU0029,F1,144,2025-04-03,after
WO000352,SO00579,SKU0010,F1,148,2025-04-06,after
WO000353,SO00579,SKU0010,F1,151,2025-04-06,after
WO000354,SO00219,SKU0014,F1,175,2025-04-03,after
WO000355,SO00542,SKU0010,F1,74,2025-04-06,after
WO000356,SO00659,SKU0004,F1,126,2025-04-01,after
WO000357,SO00259,SKU0005,F2,47,2025-04-06,after
WO000358,SO00248,SKU0013,F1,63,2025-04-04,after
WO000359,SO00064,SKU0003,F2,45,2025-04-05,after
WO000360,SO00088,SKU0001,F1,229,2025-04-06,after
WO000361,SO00280,SKU0013,F1,132,2025-04-05,after
WO000362,SO00396,SKU0005,F2,34,2025-04-05,after
WO000363,SO00394,SKU0010,F1,46,2025-04-02,after
WO000364,SO00043,SKU0016,F2,106,2025-04-09,after
WO000365,SO00307,SKU0028,F2,53,2025-04-08,after
WO000366,SO00135,SKU0028,F2,233,2025-04-07,after
WO000367,SO00114,SKU0017,F2,118,2025-04-09,after
WO000368,SO00082,SKU0027,F2,121,2025-04-07,after
WO000369,SO00538,SKU0001,F1,93,2025-04-06,after
WO000370,SO00178,SKU0018,F1,123,2025-04-10,after
WO000371,SO00234,SKU0021,F2,58,2025-04-12,after
WO000372,SO00457,SKU0028,F2,88,2025-04-08,after
WO000373,SO00273,SKU0015,F1,114,2025-04-09,after
WO000374,SO00254,SKU0020,F2,189,2025-04-10,after
WO000375,SO00146,SKU0010,F1,73,2025-04-06,after
WO000376,SO00181,SKU0020,F2,61,2025-04-10,after
WO000377,SO00158,SKU0001,F1,106,2025-04-08,after
WO000378,SO00619,SKU0016,F2,59,2025-04-11,after
WO000379,SO00402,SKU0020,F2,65,2025-04-08,after
WO000380,SO00202,SKU0004,F1,256,2025-04-09,after
WO000381,SO00330,SKU0029,F1,316,2025-04-10,after
WO000382,SO00385,SKU0017,F2,87,2025-04-10,after
WO000383,SO00684,SKU0019,F2,72,2025-04-15,after
WO000384,SO00258,SKU0009,F1,189,2025-04-12,after
WO000385,SO00174,SKU0002,F1,208,2025-04-13,after
WO000386,SO00601,SKU0023,F1,178,2025-04-09,after
WO000387,SO00652,SKU0017,F2,92,2025-04-13,after
WO000388,SO00128,SKU0026,F2,33,2025-04-09,after
WO000389,SO00317,SKU0026,F2,61,2025-04-12,after
WO000390,SO00562,SKU0027,F2,148,2025-04-10,after
WO000391,SO00677,SKU0011,F1,278,2025-04-15,after
WO000392,SO00610,SKU0009,F1,167,2025-04-15,after
WO000393,SO00356,SKU0008,F2,313,2025-04-11,after
WO000394,SO00037,SKU0019,F2,83,2025-04-14,after
WO000395,SO00213,SKU0002,F1,218,2025-04-14,after
WO000396,SO00685,SKU0027,F2,211,2025-04-16,after
WO000397,SO00602,SKU0001,F1,41,2025-04-19,after
WO000398,SO00236,SKU0005,F2,147,2025-04-12,after
WO000399,SO00521,SKU0011,F1,189,2025-04-13,after
WO000400,SO00347,SKU0016,F2,42,2025-04-18,after
WO000401,SO00226,SKU0012,F2,112,2025-04-12,after
WO000402,SO00405,SKU0009,F1,155,2025-04-14,after
WO000403,SO00594,SKU0004,F1,73,2025-04-13,after
WO000404,SO00481,SKU0013,F1,105,2025-04-14,after
WO000405,SO00688,SKU0018,F1,134,2025-04-17,after
WO000406,SO00056,SKU0017,F2,97,2025-04-15,after
WO000407,SO00453,SKU0019,F2,135,2025-04-16,after
WO000408,SO00144,SKU0004,F1,142,2025-04-17,after
WO000409,SO00137,SKU0029,F1,50,2025-04-15,after
WO000410,SO00244,SKU0016,F2,34,2025-04-19,after
WO000411,SO00165,SKU0010,F1,165,2025-04-21,after
WO000412,SO00182,SKU0017,F2,116,2025-04-19,after
WO000413,SO00651,SKU0009,F1,97,2025-04-22,after
WO000414,SO00078,SKU0007,F1,66,2025-04-22,after
WO000415,SO00694,SKU0030,F1,119,2025-04-18,after
WO000416,SO00073,SKU0010,F1,176,2025-04-19,after
WO000417,SO00578,SKU0026,F2,134,2025-04-25,after
WO000418,SO00354,SKU0008,F2,138,2025-04-19,after
WO000419,SO00093,SKU0001,F1,57,2025-04-17,after
WO000420,SO00636,SKU0027,F2,109,2025-04-18,after
WO000421,SO00338,SKU0008,F2,115,2025-04-21,after
WO000422,SO00353,SKU0007,F1,94,2025-04-24,after
WO000423,SO00444,SKU0029,F1,214,2025-04-20,after
WO000424,SO00444,SKU0029,F1,197,2025-04-20,after
WO000425,SO00224,SKU0019,F2,147,2025-04-25,after
WO000426,SO00310,SKU0023,F1,113,2025-04-23,after
WO000427,SO00203,SKU0020,F2,187,2025-04-19,after
WO000428,SO00189,SKU0024,F1,177,2025-04-23,after
WO000429,SO00458,SKU0012,F2,126,2025-04-23,after
WO000430,SO00030,SKU0022,F1,101,2025-04-24,after
WO000431,SO00048,SKU0029,F1,104,2025-04-23,after
WO000432,SO00518,SKU0021,F2,108,2025-04-26,after
WO000433,SO00377,SKU0028,F2,117,2025-04-23,after
WO000434,SO00332,SKU0027,F2,61,2025-04-25,after
WO000435,SO00319,SKU0012,F2,96,2025-04-26,after
WO000436,SO00503,SKU0027,F2,63,2025-04-23,after
WO000437,SO00516,SKU0017,F2,88,2025-04-29,after
WO000438,SO00599,SKU0023,F1,188,2025-04-24,after
WO000439,SO00599,SKU0023,F1,182,2025-04-24,after
WO000440,SO00589,SKU0007,F1,72,2025-04-27,after
WO000441,SO00374,SKU0026,F2,115,2025-04-23,after
WO000442,SO00435,SKU0011,F1,159,2025-04-28,after
WO000443,SO00482,SKU0008,F2,117,2025-04-26,after
WO000444,SO00263,SKU0015,F1,200,2025-04-29,after
WO000445,SO00092,SKU0010,F1,32,2025-04-23,after
WO000446,SO00661,SKU0023,F1,58,2025-04-27,after
WO000447,SO00074,SKU0016,F2,244,2025-04-24,after
WO000448,SO00131,SKU0030,F1,31,2025-04-27,after
WO000449,SO00123,SKU0024,F1,100,2025-04-28,after
WO000450,SO00477,SKU0023,F1,156,2025-04-28,after
WO000451,SO00634,SKU0027,F2,72,2025-05-02,after
WO000452,SO00129,SKU0027,F2,107,2025-04-26,after
WO000453,SO00054,SKU0030,F1,142,2025-04-29,after
WO000454,SO00511,SKU0008,F2,140,2025-05-06,after
WO000455,SO00239,SKU0022,F1,98,2025-05-02,after
WO000456,SO00102,SKU0027,F2,99,2025-04-28,after
WO000457,SO00430,SKU0002,F1,32,2025-04-28,after
WO000458,SO00365,SKU0023,F1,239,2025-04-29,after
WO000459,SO00096,SKU0029,F1,184,2025-04-30,after
WO000460,SO00153,SKU0016,F2,202,2025-04-29,after
WO000461,SO00099,SKU0024,F1,136,2025-05-01,after
WO000462,SO00460,SKU0014,F1,78,2025-04-30,after
WO000463,SO00346,SKU0022,F1,219,2025-05-02,after
WO000464,SO00209,SKU0019,F2,148,2025-05-01,after
