po_id,supplier_id,material_id,order_date,ordered_qty,unit_cost,expected_delivery_date,received_date,scenario
PO00030,SUP008,MAT0010,2025-06-02,601,10.17,2025-06-05,2025-06-05,after
PO00031,SUP010,MAT0013,2025-01-03,2478,15.87,2025-01-15,2025-01-15,after
PO00032,SUP011,MAT0008,2025-01-17,781,7.69,2025-01-30,2025-01-30,after
PO00033,SUP012,MAT0007,2025-02-23,785,14.5,2025-03-06,2025-03-06,after
PO00034,SUP001,MAT0011,2025-01-09,900,10.47,2025-01-16,2025-01-16,after
PO00035,SUP008,MAT0012,2025-03-19,987,5.94,2025-03-24,2025-03-24,after
PO00036,SUP001,MAT0006,2025-02-10,1265,4.84,2025-02-23,2025-02-23,after
PO00037,SUP009,MAT0020,2025-06-11,1785,9.02,2025-06-21,2025-06-21,after
PO00038,SUP001,MAT0014,2025-04-04,547,7.31,2025-04-08,2025-04-08,after
PO00039,SUP001,MAT0002,2025-02-06,1821,10.52,2025-02-14,2025-02-14,after
PO00040,SUP008,MAT0007,2025-03-02,1531,10.96,2025-03-11,2025-03-11,after
PO00041,SUP003,MAT0013,2025-06-18,1161,9.03,2025-07-06,2025-07-06,after
PO00042,SUP011,MAT0003,2025-05-07,2360,18.26,2025-05-16,2025-05-16,after
PO00043,SUP009,MAT0015,2025-04-22,1213,11.78,2025-04-27,2025-04-27,after
PO00044,SUP010,MAT0013,2025-03-29,2074,15.87,2025-04-10,2025-04-10,after
PO00045,SUP001,MAT0005,2025-06-13,445,16.93,2025-06-20,2025-06-20,after
PO00046,SUP003,MAT0014,2025-06-26,1667,8.1,2025-07-09,2025-07-09,after
PO00047,SUP003,MAT0014,2025-01-04,1444,8.1,2025-01-17,2025-01-17,after
PO00048,SUP012,MAT0006,2025-03-20,2710,11.53,2025-03-29,2025-03-29,after
PO00049,SUP003,MAT0017,2025-04-13,612,9.88,2025-04-29,2025-04-29,after
PO00050,SUP006,MAT0003,2025-02-13,2020,12.23,2025-02-25,2025-02-25,after
PO00051,SUP008,MAT0009,2025-06-04,518,17.49,2025-06-07,2025-06-07,after
PO00052,SUP001,MAT0006,2025-02-08,1265,4.84,2025-02-21,2025-02-21,after
PO00053,SUP008,MAT0009,2025-04-20,554,17.49,2025-04-23,2025-04-23,after
PO00054,SUP008,MAT0012,2025-06-18,1010,5.94,2025-06-23,2025-06-23,after
PO00055,SUP012,MAT0001,2025-05-12,816,6.76,2025-05-21,2025-05-21,after
PO00056,SUP011,MAT0008,2025-05-02,756,7.69,2025-05-15,2025-05-15,after
PO00057,SUP001,MAT0001,2025-05-01,970,11.8,2025-05-10,2025-05-10,after
PO00058,SUP002,MAT0008,2025-04-15,4844,9.55,2025-04-20,2025-04-20,after
PO00059,SUP012,MAT0017,2025-04-13,1085,7.42,2025-04-25,2025-04-25,after
PO00060,SUP003,MAT0006,2025-01-11,549,4.47,2025-01-28,2025-01-28,after
PO00061,SUP001,MAT0002,2025-05-06,1441,10.52,2025-05-14,2025-05-14,after
PO00062,SUP007,MAT0005,2025-04-20,829,7.81,2025-04-30,2025-04-30,after
PO00063,SUP009,MAT0005,2025-06-04,736,9.74,2025-06-08,2025-06-08,after
PO00064,SUP007,MAT0019,2025-01-11,652,10.78,2025-01-27,2025-01-27,after
PO00065,SUP007,MAT0017,2025-06-17,1434,19.74,2025-06-27,2025-06-27,after
PO00066,SUP007,MAT0005,2025-05-02,1563,7.81,2025-05-12,2025-05-12,after
PO00067,SUP001,MAT0001,2025-02-19,851,11.8,2025-02-28,2025-02-28,after
PO00068,SUP010,MAT0013,2025-04-03,838,15.87,2025-04-15,2025-04-15,after
PO00069,SUP007,MAT0017,2025-03-20,895,19.74,2025-03-30,2025-03-30,after
PO00070,SUP012,MAT0019,2025-03-18,2454,10.0,2025-03-23,2025-03-23,after
PO00071,SUP003,MAT0013,2025-04-21,1161,9.03,2025-05-09,2025-05-09,after
PO00072,SUP003,MAT0006,2025-05-27,1415,4.47,2025-06-13,2025-06-13,after
PO00073,SUP008,MAT0004,2025-02-08,159,7.81,2025-02-17,2025-02-17,after
PO00074,SUP008,MAT0004,2025-06-27,3429,7.81,2025-07-06,2025-07-06,after
PO00075,SUP002,MAT0007,2025-02-01,2026,8.17,2025-02-12,2025-02-12,after
PO00076,SUP005,MAT0018,2025-04-07,405,19.65,2025-04-15,2025-04-15,after
PO00077,SUP008,MAT0012,2025-01-20,1159,5.94,2025-01-25,2025-01-25,after
PO00078,SUP011,MAT0008,2025-04-02,616,7.69,2025-04-15,2025-04-15,after
PO00079,SUP005,MAT0017,2025-06-16,2490,10.22,2025-07-01,2025-07-01,after
PO00080,SUP009,MAT0002,2025-06-19,2975,9.62,2025-06-27,2025-06-27,after
PO00081,SUP012,MAT0001,2025-01-31,658,6.76,2025-02-09,2025-02-09,after
PO00082,SUP007,MAT0017,2025-01-06,1835,19.74,2025-01-16,2025-01-16,after
PO00083,SUP007,MAT0005,2025-05-07,852,7.81,2025-05-17,2025-05-17,after
PO00084,SUP008,MAT0010,2025-06-22,512,10.17,2025-06-25,2025-06-25,after
PO00085,SUP010,MAT0011,2025-04-18,816,12.01,2025-04-27,2025-04-27,after
PO00086,SUP001,MAT0011,2025-05-14,701,10.47,2025-05-21,2025-05-21,after
PO00087,SUP008,MAT0010,2025-01-23,467,10.17,2025-01-26,2025-01-26,after
PO00088,SUP009,MAT0015,2025-04-25,504,11.78,2025-04-30,2025-04-30,after
PO00089,SUP006,MAT0014,2025-06-22,1338,16.02,2025-06-30,2025-06-30,after
PO00090,SUP008,MAT0019,2025-04-22,1866,8.86,2025-05-02,2025-05-02,after
PO00091,SUP006,MAT0009,2025-04-12,281,13.39,2025-04-23,2025-04-23,after
PO00092,SUP011,MAT0018,2025-02-04,1525,8.49,2025-02-09,2025-02-09,after
PO00093,SUP006,MAT0004,2025-05-17,1706,6.6,2025-05-28,2025-05-28,after
PO00094,SUP011,MAT0012,2025-06-05,1381,13.33,2025-06-13,2025-06-13,after
PO00095,SUP002,MAT0020,2025-03-14,1163,12.59,2025-03-20,2025-03-20,after
PO00096,SUP012,MAT0017,2025-01-17,642,7.42,2025-01-29,2025-01-29,after
PO00097,SUP012,MAT0006,2025-06-01,1083,11.53,2025-06-10,2025-06-10,after
PO00098,SUP005,MAT0004,2025-02-26,680,13.33,2025-03-08,2025-03-08,after
PO00099,SUP012,MAT0020,2025-02-08,659,8.95,2025-02-18,2025-02-18,after
PO00100,SUP012,MAT0019,2025-03-09,890,10.0,2025-03-14,2025-03-14,after
PO00101,SUP007,MAT0019,2025-06-22,3107,10.78,2025-07-08,2025-07-08,after
PO00102,SUP010,MAT0011,2025-03-26,897,12.01,2025-04-04,2025-04-04,after
PO00103,SUP003,MAT0017,2025-02-01,1658,9.88,2025-02-17,2025-02-17,after
PO00104,SUP012,MAT0001,2025-02-08,854,6.76,2025-02-17,2025-02-17,after
PO00105,SUP005,MAT0016,2025-02-09,800,15.84,2025-02-19,2025-02-19,after
PO00106,SUP012,MAT0001,2025-02-27,912,6.76,2025-03-08,2025-03-08,after
PO00107,SUP005,MAT0017,2025-01-08,1077,10.22,2025-01-23,2025-01-23,after
PO00108,SUP003,MAT0017,2025-02-04,1977,9.88,2025-02-20,2025-02-20,after
PO00109,SUP003,MAT0003,2025-03-21,1039,6.9,2025-04-05,2025-04-05,after
PO00110,SUP004,MAT0004,2025-01-10,1048,15.03,2025-01-18,2025-01-18,after
PO00111,SUP003,MAT0016,2025-05-10,2092,9.33,2025-05-27,2025-05-27,after
PO00112,SUP003,MAT0016,2025-02-13,1965,9.33,2025-03-02,2025-03-02,after
PO00113,SUP008,MAT0007,2025-01-04,388,10.96,2025-01-13,2025-01-13,after
PO00114,SUP008,MAT0011,2025-03-18,481,9.37,2025-03-24,2025-03-24,after
PO00115,SUP011,MAT0016,2025-06-07,906,7.93,2025-06-12,2025-06-12,after
PO00116,SUP001,MAT0003,2025-03-08,453,8.89,2025-03-19,2025-03-19,after
PO00117,SUP008,MAT0016,2025-03-31,465,5.95,2025-04-07,2025-04-07,after
PO00118,SUP004,MAT0009,2025-05-11,1026,10.36,2025-05-18,2025-05-18,after
PO00119,SUP009,MAT0007,2025-04-06,1032,9.47,2025-04-12,2025-04-12,after
PO00120,SUP008,MAT0010,2025-01-08,1108,10.17,2025-01-11,2025-01-11,after
PO00121,SUP008,MAT0011,2025-02-07,681,9.37,2025-02-13,2025-02-13,after
PO00122,SUP011,MAT0003,2025-04-23,1249,18.26,2025-05-02,2025-05-02,after
PO00123,SUP001,MAT0011,2025-06-15,678,10.47,2025-06-22,2025-06-22,after
PO00124,SUP010,MAT0010,2025-05-20,1307,10.99,2025-05-30,2025-05-30,after
PO00125,SUP001,MAT0001,2025-01-16,639,11.8,2025-01-25,2025-01-25,after
PO00126,SUP012,MAT0006,2025-06-21,1292,11.53,2025-06-30,2025-06-30,after
PO00127,SUP006,MAT0014,2025-05-24,746,16.02,2025-06-01,2025-06-01,after
PO00128,SUP001,MAT0005,2025-03-25,1169,16.93,2025-04-01,2025-04-01,after
PO00129,SUP008,MAT0016,2025-01-18,1166,5.95,2025-01-25,2025-01-25,after
PO00130,SUP001,MAT0002,2025-05-24,2991,10.52,2025-06-01,2025-06-01,after
PO00131,SUP012,MAT0006,2025-03-01,695,11.53,2025-03-10,2025-03-10,after
PO00132,SUP010,MAT0002,2025-02-04,3740,10.94,2025-02-11,2025-02-11,after
PO00133,SUP002,MAT0008,2025-04-11,662,9.55,2025-04-16,2025-04-16,after
PO00134,SUP007,MAT0005,2025-03-24,852,7.81,2025-04-03,2025-04-03,after
PO00135,SUP008,MAT0006,2025-02-26,1295,14.94,2025-03-05,2025-03-05,after
PO00136,SUP012,MAT0020,2025-01-21,1501,8.95,2025-01-31,2025-01-31,after
PO00137,SUP002,MAT0020,2025-04-03,819,12.59,2025-04-09,2025-04-09,after
PO00138,SUP001,MAT0002,2025-02-16,1688,10.52,2025-02-24,2025-02-24,after
PO00139,SUP011,MAT0008,2025-05-10,992,7.69,2025-05-23,2025-05-23,after
PO00140,SUP002,MAT0020,2025-06-07,838,12.59,2025-06-13,2025-06-13,after
PO00141,SUP011,MAT0003,2025-06-21,933,18.26,2025-06-30,2025-06-30,after
PO00142,SUP008,MAT0011,2025-05-08,1586,9.37,2025-05-14,2025-05-14,after
PO00143,SUP003,MAT0013,2025-05-22,411,9.03,2025-06-09,2025-06-09,after
PO00144,SUP007,MAT0005,2025-03-24,3331,7.81,2025-04-03,2025-04-03,after
PO00145,SUP008,MAT0012,2025-04-14,767,5.94,2025-04-19,2025-04-19,after
PO00146,SUP003,MAT0017,2025-04-24,714,9.88,2025-05-10,2025-05-10,after
PO00147,SUP012,MAT0019,2025-04-12,1154,10.0,2025-04-17,2025-04-17,after
PO00148,SUP002,MAT0008,2025-03-08,1612,9.55,2025-03-13,2025-03-13,after
PO00149,SUP010,MAT0013,2025-02-11,796,15.87,2025-02-23,2025-02-23,after
PO00150,SUP005,MAT0017,2025-05-05,988,10.22,2025-05-20,2025-05-20,after
PO00151,SUP002,MAT0008,2025-02-07,713,9.55,2025-02-12,2025-02-12,after
PO00152,SUP007,MAT0019,2025-03-15,745,10.78,2025-03-31,2025-03-31,after
PO00153,SUP004,MAT0009,2025-01-13,1026,10.36,2025-01-20,2025-01-20,after
PO00154,SUP010,MAT0002,2025-01-22,1969,10.94,2025-01-29,2025-01-29,after
PO00155,SUP001,MAT0001,2025-01-02,1097,11.8,2025-01-11,2025-01-11,after
PO00156,SUP003,MAT0017,2025-02-06,1312,9.88,2025-02-22,2025-02-22,after
PO00157,SUP009,MAT0005,2025-04-22,932,9.74,2025-04-26,2025-04-26,after
PO00158,SUP003,MAT0006,2025-06-18,3438,4.47,2025-07-05,2025-07-05,after
PO00159,SUP002,MAT0020,2025-03-24,908,12.59,2025-03-30,2025-03-30,after
PO00160,SUP005,MAT0016,2025-04-25,3135,15.84,2025-05-05,2025-05-05,after
PO00161,SUP001,MAT0002,2025-01-23,927,10.52,2025-01-31,2025-01-31,after
PO00162,SUP006,MAT0010,2025-03-03,1163,11.63,2025-03-09,2025-03-09,after
PO00163,SUP008,MAT0004,2025-04-23,2503,7.81,2025-05-02,2025-05-02,after
PO00164,SUP003,MAT0016,2025-05-22,1160,9.33,2025-06-08,2025-06-08,after
PO00165,SUP008,MAT0011,2025-05-27,4917,9.37,2025-06-02,2025-06-02,after
PO00166,SUP008,MAT0012,2025-03-26,631,5.94,2025-03-31,2025-03-31,after
PO00167,SUP008,MAT0009,2025-03-20,1593,17.49,2025-03-23,2025-03-23,after
PO00168,SUP010,MAT0013,2025-05-17,493,15.87,2025-05-29,2025-05-29,after
PO00169,SUP010,MAT0013,2025-03-05,2002,15.87,2025-03-17,2025-03-17,after
PO00170,SUP011,MAT0016,2025-01-27,960,7.93,2025-02-01,2025-02-01,after
PO00171,SUP004,MAT0004,2025-06-01,882,15.03,2025-06-09,2025-06-09,after
PO00172,SUP011,MAT0012,2025-03-19,3178,13.33,2025-03-27,2025-03-27,after
PO00173,SUP008,MAT0004,2025-04-28,727,7.81,2025-05-07,2025-05-07,after
PO00174,SUP010,MAT0013,2025-02-15,3053,15.87,2025-02-27,2025-02-27,after
PO00175,SUP001,MAT0006,2025-03-01,1265,4.84,2025-03-14,2025-03-14,after
PO00176,SUP009,MAT0002,2025-04-18,1279,9.62,2025-04-26,2025-04-26,after
PO00177,SUP012,MAT0017,2025-03-29,2029,7.42,2025-04-10,2025-04-10,after
PO00178,SUP011,MAT0016,2025-05-11,1509,7.93,2025-05-16,2025-05-16,after
PO00179,SUP001,MAT0014,2025-04-22,586,7.31,2025-04-26,2025-04-26,after
PO00180,SUP010,MAT0013,2025-06-22,535,15.87,2025-07-04,2025-07-04,after
PO00181,SUP010,MAT0013,2025-03-21,595,15.87,2025-04-02,2025-04-02,after
PO00182,SUP012,MAT0001,2025-01-21,1013,6.76,2025-01-30,2025-01-30,after
PO00183,SUP003,MAT0011,2025-05-10,1464,8.69,2025-05-28,2025-05-28,after
PO00184,SUP009,MAT0002,2025-02-02,493,9.62,2025-02-10,2025-02-10,after
PO00185,SUP010,MAT0010,2025-05-03,1589,10.99,2025-05-13,2025-05-13,after
PO00186,SUP006,MAT0010,2025-01-13,3022,11.63,2025-01-19,2025-01-19,after
PO00187,SUP006,MAT0014,2025-02-27,1486,16.02,2025-03-07,2025-03-07,after
PO00188,SUP009,MAT0005,2025-04-26,932,9.74,2025-04-30,2025-04-30,after
PO00189,SUP002,MAT0018,2025-03-18,1740,11.26,2025-03-24,2025-03-24,after
PO00190,SUP008,MAT0010,2025-02-13,885,10.17,2025-02-16,2025-02-16,after
PO00191,SUP010,MAT0010,2025-02-09,2084,10.99,2025-02-19,2025-02-19,after
PO00192,SUP009,MAT0015,2025-04-19,649,11.78,2025-04-24,2025-04-24,after
PO00193,SUP006,MAT0009,2025-04-14,1200,13.39,2025-04-25,2025-04-25,after
PO00194,SUP010,MAT0010,2025-01-16,1315,10.99,2025-01-26,2025-01-26,after
PO00195,SUP012,MAT0006,2025-06-02,903,11.53,2025-06-11,2025-06-11,after
PO00196,SUP001,MAT0014,2025-01-04,586,7.31,2025-01-08,2025-01-08,after
PO00197,SUP007,MAT0017,2025-01-25,677,19.74,2025-02-04,2025-02-04,after
PO00198,SUP004,MAT0009,2025-06-22,748,10.36,2025-06-29,2025-06-29,after
PO00199,SUP003,MAT0011,2025-05-20,3726,8.69,2025-06-07,2025-06-07,after
PO00200,SUP012,MAT0006,2025-04-25,778,11.53,2025-05-04,2025-05-04,after
PO00201,SUP012,MAT0002,2025-01-12,2556,9.18,2025-01-15,2025-01-15,after
PO00202,SUP008,MAT0012,2025-06-13,1812,5.94,2025-06-18,2025-06-18,after
PO00203,SUP012,MAT0017,2025-02-22,920,7.42,2025-03-06,2025-03-06,after
PO00204,SUP006,MAT0009,2025-04-08,4392,13.39,2025-04-19,2025-04-19,after
PO00205,SUP010,MAT0010,2025-06-16,2396,10.99,2025-06-26,2025-06-26,after
PO00206,SUP010,MAT0013,2025-02-20,1304,15.87,2025-03-04,2025-03-04,after
PO00207,SUP003,MAT0017,2025-02-26,2518,9.88,2025-03-14,2025-03-14,after
PO00208,SUP008,MAT0011,2025-01-07,504,9.37,2025-01-13,2025-01-13,after
PO00209,SUP003,MAT0003,2025-06-02,1794,6.9,2025-06-17,2025-06-17,after
PO00210,SUP005,MAT0004,2025-01-30,350,13.33,2025-02-09,2025-02-09,after
PO00211,SUP001,MAT0005,2025-05-22,3840,16.93,2025-05-29,2025-05-29,after
PO00212,SUP008,MAT0007,2025-03-21,747,10.96,2025-03-30,2025-03-30,after
PO00213,SUP004,MAT0009,2025-01-23,1026,10.36,2025-01-30,2025-01-30,after
PO00214,SUP009,MAT0015,2025-06-01,1705,11.78,2025-06-06,2025-06-06,after
PO00215,SUP001,MAT0006,2025-05-06,568,4.84,2025-05-19,2025-05-19,after
PO00216,SUP001,MAT0005,2025-05-08,1293,16.93,2025-05-15,2025-05-15,after
PO00217,SUP005,MAT0017,2025-01-12,1531,10.22,2025-01-27,2025-01-27,after
PO00218,SUP001,MAT0006,2025-05-13,1001,4.84,2025-05-26,2025-05-26,after
PO00219,SUP010,MAT0002,2025-06-13,1252,10.94,2025-06-20,2025-06-20,after
PO00220,SUP008,MAT0019,2025-04-30,2384,8.86,2025-05-10,2025-05-10,after
