po_id,supplier_id,material_id,order_date,ordered_qty,unit_cost,expected_delivery_date,received_date,scenario
PO00036,SUP002,MAT0008,2025-04-09,830,9.55,2025-04-14,2025-04-14,before
PO00037,SUP003,MAT0013,2025-04-25,663,9.03,2025-05-13,2025-05-13,before
PO00038,SUP005,MAT0016,2025-02-12,1564,15.84,2025-02-22,2025-02-22,before
PO00039,SUP008,MAT0010,2025-05-18,599,10.17,2025-05-21,2025-05-21,before
PO00040,SUP009,MAT0007,2025-06-21,447,9.47,2025-06-27,2025-06-27,before
PO00041,SUP008,MAT0012,2025-06-14,1280,5.94,2025-06-19,2025-06-19,before
PO00042,SUP012,MAT0006,2025-06-07,630,11.53,2025-06-16,2025-06-16,before
PO00043,SUP012,MAT0017,2025-05-06,2029,7.42,2025-05-18,2025-05-18,before
PO00044,SUP002,MAT0008,2025-04-02,2472,9.55,2025-04-07,2025-04-07,before
PO00045,SUP003,MAT0017,2025-02-12,1130,9.88,2025-02-28,2025-02-28,before
PO00046,SUP008,MAT0012,2025-06-13,1064,5.94,2025-06-18,2025-06-18,before
PO00047,SUP003,MAT0011,2025-01-03,1903,8.69,2025-01-21,2025-01-21,before
PO00048,SUP008,MAT0012,2025-05-12,1451,5.94,2025-05-17,2025-05-17,before
PO00049,SUP010,MAT0011,2025-02-05,997,12.01,2025-02-14,2025-02-14,before
PO00050,SUP006,MAT0003,2025-03-09,1790,12.23,2025-03-21,2025-03-21,before
PO00051,SUP008,MAT0010,2025-03-10,1108,10.17,2025-03-13,2025-03-13,before
PO00052,SUP002,MAT0020,2025-04-16,2706,12.59,2025-04-22,2025-04-22,before
PO00053,SUP006,MAT0010,2025-05-25,1275,11.63,2025-05-31,2025-05-31,before
PO00054,SUP006,MAT0004,2025-02-22,841,6.6,2025-03-05,2025-03-05,before
PO00055,SUP003,MAT0014,2025-06-20,850,8.1,2025-07-03,2025-07-03,before
PO00056,SUP002,MAT0018,2025-05-07,556,11.26,2025-05-13,2025-05-13,before
PO00057,SUP001,MAT0005,2025-03-23,396,16.93,2025-03-30,2025-03-30,before
PO00058,SUP008,MAT0019,2025-02-22,565,8.86,2025-03-04,2025-03-04,before
PO00059,SUP002,MAT0007,2025-05-28,1173,8.17,2025-06-08,2025-06-08,before
PO00060,SUP009,MAT0020,2025-06-02,2569,9.02,2025-06-12,2025-06-12,before
PO00061,SUP007,MAT0019,2025-05-29,1777,10.78,2025-06-14,2025-06-14,before
PO00062,SUP001,MAT0006,2025-03-21,1257,4.84,2025-04-03,2025-04-03,before
PO00063,SUP009,MAT0020,2025-01-13,1854,9.02,2025-01-23,2025-01-23,before
PO00064,SUP008,MAT0012,2025-01-24,3394,5.94,2025-01-29,2025-01-29,before
PO00065,SUP002,MAT0008,2025-06-24,391,9.55,2025-06-29,2025-06-29,before
PO00066,SUP010,MAT0002,2025-02-27,893,10.94,2025-03-06,2025-03-06,before
PO00067,SUP012,MAT0002,2025-02-20,1730,9.18,2025-02-23,2025-02-23,before
PO00068,SUP008,MAT0009,2025-05-26,2060,17.49,2025-05-29,2025-05-29,before
PO00069,SUP011,MAT0012,2025-05-12,1135,13.33,2025-05-20,2025-05-20,before
PO00070,SUP012,MAT0002,2025-02-03,2602,9.18,2025-02-06,2025-02-06,before
PO00071,SUP010,MAT0011,2025-04-05,584,12.01,2025-04-14,2025-04-14,before
PO00072,SUP008,MAT0004,2025-03-04,837,7.81,2025-03-13,2025-03-13,before
PO00073,SUP008,MAT0009,2025-02-20,1737,17.49,2025-02-23,2025-02-23,before
PO00074,SUP001,MAT0001,2025-05-27,1816,11.8,2025-06-05,2025-06-05,before
PO00075,SUP009,MAT0015,2025-01-09,1268,11.78,2025-01-14,2025-01-14,before
PO00076,SUP006,MAT0003,2025-05-30,1265,12.23,2025-06-11,2025-06-11,before
PO00077,SUP009,MAT0005,2025-04-18,1403,9.74,2025-04-22,2025-04-22,before
PO00078,SUP005,MAT0016,2025-05-13,3627,15.84,2025-05-23,2025-05-23,before
PO00079,SUP005,MAT0018,2025-03-13,629,19.65,2025-03-21,2025-03-21,before
PO00080,SUP009,MAT0007,2025-02-20,922,9.47,2025-02-26,2025-02-26,before
PO00081,SUP006,MAT0009,2025-02-27,687,13.39,2025-03-10,2025-03-10,before
PO00082,SUP003,MAT0013,2025-01-21,1161,9.03,2025-02-08,2025-02-08,before
PO00083,SUP011,MAT0008,2025-03-29,915,7.69,2025-04-11,2025-04-11,before
PO00084,SUP010,MAT0010,2025-02-26,500,10.99,2025-03-08,2025-03-08,before
PO00085,SUP003,MAT0013,2025-01-03,764,9.03,2025-01-21,2025-01-21,before
PO00086,SUP007,MAT0017,2025-03-26,3075,19.74,2025-04-05,2025-04-05,before
PO00087,SUP002,MAT0020,2025-05-28,1534,12.59,2025-06-03,2025-06-03,before
PO00088,SUP004,MAT0004,2025-02-22,622,15.03,2025-03-02,2025-03-02,before
PO00089,SUP001,MAT0014,2025-06-25,586,7.31,2025-06-29,2025-06-29,before
PO00090,SUP009,MAT0005,2025-04-10,2164,9.74,2025-04-14,2025-04-14,before
PO00091,SUP009,MAT0005,2025-02-10,599,9.74,2025-02-14,2025-02-14,before
PO00092,SUP008,MAT0010,2025-05-16,1108,10.17,2025-05-19,2025-05-19,before
PO00093,SUP009,MAT0007,2025-02-19,910,9.47,2025-02-25,2025-02-25,before
PO00094,SUP008,MAT0011,2025-06-17,1481,9.37,2025-06-23,2025-06-23,before
PO00095,SUP009,MAT0005,2025-04-12,967,9.74,2025-04-16,2025-04-16,before
PO00096,SUP003,MAT0013,2025-05-30,1161,9.03,2025-06-17,2025-06-17,before
PO00097,SUP006,MAT0003,2025-01-21,2132,12.23,2025-02-02,2025-02-02,before
PO00098,SUP001,MAT0014,2025-05-10,586,7.31,2025-05-14,2025-05-14,before
PO00099,SUP008,MAT0019,2025-05-24,1783,8.86,2025-06-03,2025-06-03,before
PO00100,SUP010,MAT0010,2025-06-23,2098,10.99,2025-07-03,2025-07-03,before
PO00101,SUP008,MAT0016,2025-03-06,1949,5.95,2025-03-13,2025-03-13,before
PO00102,SUP003,MAT0003,2025-04-06,1774,6.9,2025-04-21,2025-04-21,before
PO00103,SUP006,MAT0009,2025-06-19,533,13.39,2025-06-30,2025-06-30,before
PO00104,SUP002,MAT0018,2025-03-06,1740,11.26,2025-03-12,2025-03-12,before
PO00105,SUP010,MAT0010,2025-03-27,816,10.99,2025-04-06,2025-04-06,before
PO00106,SUP006,MAT0014,2025-05-24,544,16.02,2025-06-01,2025-06-01,before
PO00107,SUP009,MAT0007,2025-02-14,2221,9.47,2025-02-20,2025-02-20,before
PO00108,SUP011,MAT0008,2025-05-17,3444,7.69,2025-05-30,2025-05-30,before
PO00109,SUP008,MAT0011,2025-06-21,1864,9.37,2025-06-27,2025-06-27,before
PO00110,SUP002,MAT0015,2025-03-14,1821,11.44,2025-03-18,2025-03-18,before
PO00111,SUP002,MAT0008,2025-06-12,4452,9.55,2025-06-17,2025-06-17,before
PO00112,SUP006,MAT0020,2025-03-21,620,11.6,2025-03-27,2025-03-27,before
PO00113,SUP003,MAT0016,2025-02-10,2781,9.33,2025-02-27,2025-02-27,before
PO00114,SUP011,MAT0012,2025-06-30,1127,13.33,2025-07-08,2025-07-08,before
PO00115,SUP001,MAT0001,2025-04-22,1352,11.8,2025-05-01,2025-05-01,before
PO00116,SUP002,MAT0018,2025-02-24,1190,11.26,2025-03-02,2025-03-02,before
PO00117,SUP010,MAT0011,2025-06-06,997,12.01,2025-06-15,2025-06-15,before
PO00118,SUP008,MAT0004,2025-05-10,245,7.81,2025-05-19,2025-05-19,before
PO00119,SUP009,MAT0015,2025-03-15,868,11.78,2025-03-20,2025-03-20,before
PO00120,SUP002,MAT0015,2025-01-11,2842,11.44,2025-01-15,2025-01-15,before
PO00121,SUP003,MAT0011,2025-03-28,3047,8.69,2025-04-15,2025-04-15,before
PO00122,SUP001,MAT0006,2025-02-04,1265,4.84,2025-02-17,2025-02-17,before
PO00123,SUP008,MAT0006,2025-03-11,1115,14.94,2025-03-18,2025-03-18,before
PO00124,SUP002,MAT0015,2025-05-09,4722,11.44,2025-05-13,2025-05-13,before
PO00125,SUP011,MAT0008,2025-06-02,951,7.69,2025-06-15,2025-06-15,before
PO00126,SUP007,MAT0019,2025-02-23,390,10.78,2025-03-11,2025-03-11,before
PO00127,SUP009,MAT0007,2025-02-01,1379,9.47,2025-02-07,2025-02-07,before
PO00128,SUP001,MAT0002,2025-05-19,5304,10.52,2025-05-27,2025-05-27,before
PO00129,SUP004,MAT0009,2025-04-24,1026,10.36,2025-05-01,2025-05-01,before
PO00130,SUP008,MAT0007,2025-06-07,2011,10.96,2025-06-16,2025-06-16,before
PO00131,SUP008,MAT0004,2025-02-23,1152,7.81,2025-03-04,2025-03-04,before
PO00132,SUP001,MAT0005,2025-02-08,522,16.93,2025-02-15,2025-02-15,before
PO00133,SUP006,MAT0003,2025-03-08,488,12.23,2025-03-20,2025-03-20,before
PO00134,SUP012,MAT0002,2025-06-21,1886,9.18,2025-06-24,2025-06-24,before
PO00135,SUP001,MAT0001,2025-01-22,575,11.8,2025-01-31,2025-01-31,before
PO00136,SUP012,MAT0020,2025-06-01,447,8.95,2025-06-11,2025-06-11,before
PO00137,SUP007,MAT0005,2025-06-08,1611,7.81,2025-06-18,2025-06-18,before
PO00138,SUP007,MAT0019,2025-05-17,762,10.78,2025-06-02,2025-06-02,before
PO00139,SUP003,MAT0016,2025-03-31,1538,9.33,2025-04-17,2025-04-17,before
PO00140,SUP001,MAT0001,2025-02-12,536,11.8,2025-02-21,2025-02-21,before
PO00141,SUP006,MAT0010,2025-06-09,1567,11.63,2025-06-15,2025-06-15,before
PO00142,SUP012,MAT0017,2025-05-20,1110,7.42,2025-06-01,2025-06-01,before
PO00143,SUP004,MAT0009,2025-01-19,1026,10.36,2025-01-26,2025-01-26,before
PO00144,SUP008,MAT0011,2025-04-16,439,9.37,2025-04-22,2025-04-22,before
PO00145,SUP009,MAT0002,2025-02-12,951,9.62,2025-02-20,2025-02-20,before
PO00146,SUP008,MAT0012,2025-02-14,3832,5.94,2025-02-19,2025-02-19,before
PO00147,SUP011,MAT0008,2025-06-19,1240,7.69,2025-07-02,2025-07-02,before
PO00148,SUP006,MAT0020,2025-06-09,1630,11.6,2025-06-15,2025-06-15,before
PO00149,SUP002,MAT0008,2025-04-29,1012,9.55,2025-05-04,2025-05-04,before
PO00150,SUP011,MAT0008,2025-01-24,2396,7.69,2025-02-06,2025-02-06,before
PO00151,SUP006,MAT0020,2025-03-05,906,11.6,2025-03-11,2025-03-11,before
PO00152,SUP003,MAT0013,2025-05-04,1161,9.03,2025-05-22,2025-05-22,before
PO00153,SUP010,MAT0013,2025-02-13,737,15.87,2025-02-25,2025-02-25,before
PO00154,SUP010,MAT0013,2025-01-15,1497,15.87,2025-01-27,2025-01-27,before
PO00155,SUP006,MAT0003,2025-06-20,563,12.23,2025-07-02,2025-07-02,before
PO00156,SUP002,MAT0015,2025-06-16,1870,11.44,2025-06-20,2025-06-20,before
PO00157,SUP008,MAT0007,2025-05-11,1845,10.96,2025-05-20,2025-05-20,before
PO00158,SUP009,MAT0020,2025-04-30,1563,9.02,2025-05-10,2025-05-10,before
PO00159,SUP001,MAT0006,2025-03-17,1265,4.84,2025-03-30,2025-03-30,before
PO00160,SUP002,MAT0008,2025-02-28,817,9.55,2025-03-05,2025-03-05,before
PO00161,SUP012,MAT0007,2025-01-18,2031,14.5,2025-01-29,2025-01-29,before
PO00162,SUP012,MAT0007,2025-05-20,1122,14.5,2025-05-31,2025-05-31,before
PO00163,SUP008,MAT0006,2025-06-26,1255,14.94,2025-07-03,2025-07-03,before
PO00164,SUP009,MAT0015,2025-01-08,863,11.78,2025-01-13,2025-01-13,before
PO00165,SUP009,MAT0020,2025-04-09,1948,9.02,2025-04-19,2025-04-19,before
PO00166,SUP005,MAT0018,2025-02-16,1313,19.65,2025-02-24,2025-02-24,before
PO00167,SUP008,MAT0004,2025-05-03,1341,7.81,2025-05-12,2025-05-12,before
PO00168,SUP008,MAT0019,2025-05-22,2384,8.86,2025-06-01,2025-06-01,before
PO00169,SUP008,MAT0007,2025-01-12,1057,10.96,2025-01-21,2025-01-21,before
PO00170,SUP008,MAT0010,2025-01-06,1108,10.17,2025-01-09,2025-01-09,before
PO00171,SUP008,MAT0009,2025-02-14,1757,17.49,2025-02-17,2025-02-17,before
PO00172,SUP012,MAT0020,2025-05-29,848,8.95,2025-06-08,2025-06-08,before
PO00173,SUP005,MAT0018,2025-04-06,665,19.65,2025-04-14,2025-04-14,before
PO00174,SUP001,MAT0005,2025-05-02,371,16.93,2025-05-09,2025-05-09,before
PO00175,SUP002,MAT0015,2025-06-20,1666,11.44,2025-06-24,2025-06-24,before
PO00176,SUP001,MAT0005,2025-05-18,2223,16.93,2025-05-25,2025-05-25,before
PO00177,SUP001,MAT0001,2025-03-04,1060,11.8,2025-03-13,2025-03-13,before
PO00178,SUP001,MAT0003,2025-06-26,1027,8.89,2025-07-07,2025-07-07,before
PO00179,SUP001,MAT0001,2025-04-27,1357,11.8,2025-05-06,2025-05-06,before
PO00180,SUP011,MAT0012,2025-05-23,630,13.33,2025-05-31,2025-05-31,before
PO00181,SUP007,MAT0017,2025-02-07,802,19.74,2025-02-17,2025-02-17,before
PO00182,SUP007,MAT0017,2025-03-14,836,19.74,2025-03-24,2025-03-24,before
PO00183,SUP001,MAT0003,2025-04-26,1194,8.89,2025-05-07,2025-05-07,before
PO00184,SUP003,MAT0016,2025-04-25,2289,9.33,2025-05-12,2025-05-12,before
PO00185,SUP005,MAT0004,2025-03-01,348,13.33,2025-03-11,2025-03-11,before
PO00186,SUP012,MAT0001,2025-04-30,534,6.76,2025-05-09,2025-05-09,before
PO00187,SUP011,MAT0018,2025-03-11,729,8.49,2025-03-16,2025-03-16,before
PO00188,SUP005,MAT0017,2025-02-05,500,10.22,2025-02-20,2025-02-20,before
PO00189,SUP010,MAT0002,2025-06-27,3931,10.94,2025-07-04,2025-07-04,before
PO00190,SUP001,MAT0001,2025-01-19,2416,11.8,2025-01-28,2025-01-28,before
PO00191,SUP001,MAT0001,2025-04-01,1467,11.8,2025-04-10,2025-04-10,before
PO00192,SUP008,MAT0006,2025-04-06,1138,14.94,2025-04-13,2025-04-13,before
PO00193,SUP007,MAT0005,2025-01-18,2579,7.81,2025-01-28,2025-01-28,before
PO00194,SUP011,MAT0008,2025-05-01,2322,7.69,2025-05-14,2025-05-14,before
PO00195,SUP005,MAT0017,2025-05-29,868,10.22,2025-06-13,2025-06-13,before
PO00196,SUP009,MAT0007,2025-05-12,1093,9.47,2025-05-18,2025-05-18,before
PO00197,SUP012,MAT0020,2025-03-22,1116,8.95,2025-04-01,2025-04-01,before
PO00198,SUP012,MAT0001,2025-01-03,883,6.76,2025-01-12,2025-01-12,before
PO00199,SUP008,MAT0011,2025-01-15,364,9.37,2025-01-21,2025-01-21,before
PO00200,SUP002,MAT0020,2025-06-09,2367,12.59,2025-06-15,2025-06-15,before
PO00201,SUP006,MAT0020,2025-01-09,1211,11.6,2025-01-15,2025-01-15,before
PO00202,SUP011,MAT0012,2025-04-22,1073,13.33,2025-04-30,2025-04-30,before
PO00203,SUP010,MAT0013,2025-03-10,943,15.87,2025-03-22,2025-03-22,before
PO00204,SUP003,MAT0013,2025-01-20,1161,9.03,2025-02-07,2025-02-07,before
PO00205,SUP007,MAT0017,2025-03-19,627,19.74,2025-03-29,2025-03-29,before
PO00206,SUP006,MAT0004,2025-01-16,794,6.6,2025-01-27,2025-01-27,before
PO00207,SUP009,MAT0002,2025-04-30,2227,9.62,2025-05-08,2025-05-08,before
PO00208,SUP005,MAT0004,2025-05-15,673,13.33,2025-05-25,2025-05-25,before
PO00209,SUP008,MAT0011,2025-05-05,1270,9.37,2025-05-11,2025-05-11,before
PO00210,SUP008,MAT0010,2025-03-26,1108,10.17,2025-03-29,2025-03-29,before
PO00211,SUP011,MAT0008,2025-04-09,1808,7.69,2025-04-22,2025-04-22,before
PO00212,SUP002,MAT0008,2025-04-02,1753,9.55,2025-04-07,2025-04-07,before
PO00213,SUP006,MAT0009,2025-04-22,521,13.39,2025-05-03,2025-05-03,before
PO00214,SUP002,MAT0015,2025-01-25,1068,11.44,2025-01-29,2025-01-29,before
PO00215,SUP005,MAT0016,2025-06-29,881,15.84,2025-07-09,2025-07-09,before
PO00216,SUP006,MAT0020,2025-03-03,3361,11.6,2025-03-09,2025-03-09,before
PO00217,SUP011,MAT0018,2025-04-02,1113,8.49,2025-04-07,2025-04-07,before
PO00218,SUP003,MAT0013,2025-02-14,1161,9.03,2025-03-04,2025-03-04,before
PO00219,SUP002,MAT0015,2025-06-15,1258,11.44,2025-06-19,2025-06-19,before
PO00220,SUP002,MAT0020,2025-04-28,1628,12.59,2025-05-04,2025-05-04,before
