shipment_id,from_node,to_node,sku_id,ship_date,planned_delivery_date,actual_delivery_date,carrier,mode,route_lane_id,shipped_qty,freight_cost,priority_bucket,scenario
SH000032,WH_SOUTH,DC_CT,SKU0020,2025-01-30,2025-01-31,2025-01-31,CarrierA,Road,WH_SOUTH->DC_CT:Road,63,10.25,Std,before
SH000033,WH_NORTH,DC_DN,SKU0005,2025-01-28,2025-01-30,2025-01-30,CarrierB,Road,WH_NORTH->DC_DN:Road,70,13.48,Expedite,before
SH000034,WH_NORTH,DC_DN,SKU0008,2025-01-30,2025-02-01,2025-02-04,CarrierA,Road,WH_NORTH->DC_DN:Road,59,13.02,Std,before
SH000035,WH_NORTH,DC_DN,SKU0027,2025-01-30,2025-02-01,2025-02-04,CarrierB,Road,WH_NORTH->DC_DN:Road,27,6.1,Std,before
SH000036,WH_SOUTH,DC_HCMC,SKU0015,2025-01-28,2025-01-29,2025-01-29,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,175,20.62,Std,before
SH000037,WH_SOUTH,DC_HCMC,SKU0018,2025-01-28,2025-01-29,2025-01-29,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,149,18.36,Std,before
SH000038,WH_SOUTH,DC_HCMC,SKU0020,2025-01-28,2025-01-29,2025-01-29,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,138,16.32,Std,before
SH000039,WH_SOUTH,DC_HCMC,SKU0009,2025-01-28,2025-01-29,2025-01-29,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,108,12.25,Std,before
SH000040,WH_NORTH,DC_HN,SKU0015,2025-01-30,2025-01-31,2025-02-04,CarrierB,Road,WH_NORTH->DC_HN:Road,73,9.86,Expedite,before
SH000041,WH_NORTH,DC_HN,SKU0014,2025-01-29,2025-01-30,2025-01-30,CarrierB,Road,WH_NORTH->DC_HN:Road,33,4.41,Launch,before
SH000042,WH_NORTH,DC_HN,SKU0003,2025-01-29,2025-01-30,2025-01-30,CarrierC,Road,WH_NORTH->DC_HN:Road,18,2.12,Launch,before
SH000043,WH_NORTH,DC_HN,SKU0024,2025-01-30,2025-01-31,2025-02-04,CarrierA,Road,WH_NORTH->DC_HN:Road,88,11.05,Std,before
SH000044,WH_NORTH,DC_HN,SKU0016,2025-01-30,2025-01-31,2025-02-04,CarrierA,Road,WH_NORTH->DC_HN:Road,97,11.15,Std,before
SH000045,WH_NORTH,DC_HN,SKU0025,2025-01-30,2025-01-31,2025-02-04,CarrierA,Road,WH_NORTH->DC_HN:Road,75,9.53,Std,before
SH000046,WH_NORTH,DC_HN,SKU0028,2025-01-30,2025-01-31,2025-02-04,CarrierC,Road,WH_NORTH->DC_HN:Road,71,9.57,Std,before
SH000047,WH_NORTH,DC_HN,SKU0009,2025-01-30,2025-01-31,2025-02-04,CarrierC,Road,WH_NORTH->DC_HN:Road,70,8.51,Std,before
SH000048,WH_SOUTH,DC_CT,SKU0016,2025-02-05,2025-02-06,2025-02-06,CarrierC,Road,WH_SOUTH->DC_CT:Road,58,8.82,Std,before
SH000049,WH_SOUTH,DC_CT,SKU0004,2025-02-05,2025-02-06,2025-02-06,CarrierB,Road,WH_SOUTH->DC_CT:Road,39,5.37,Std,before
SH000050,WH_SOUTH,DC_CT,SKU0003,2025-02-05,2025-02-06,2025-02-06,CarrierB,Road,WH_SOUTH->DC_CT:Road,21,3.46,Std,before
SH000051,WH_NORTH,DC_DN,SKU0014,2025-02-03,2025-02-05,2025-02-05,CarrierB,Road,WH_NORTH->DC_DN:Road,32,6.82,Expedite,before
SH000052,WH_NORTH,DC_DN,SKU0005,2025-02-06,2025-02-08,2025-02-08,CarrierB,Road,WH_NORTH->DC_DN:Road,143,29.3,Std,before
SH000053,WH_NORTH,DC_DN,SKU0006,2025-02-06,2025-02-08,2025-02-08,CarrierC,Road,WH_NORTH->DC_DN:Road,54,12.47,Std,before
SH000054,WH_SOUTH,DC_HCMC,SKU0020,2025-02-05,2025-02-06,2025-02-06,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,118,13.13,Expedite,before
SH000055,WH_SOUTH,DC_HCMC,SKU0008,2025-02-03,2025-02-04,2025-02-04,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,107,11.54,Std,before
SH000056,WH_SOUTH,DC_HCMC,SKU0010,2025-02-03,2025-02-04,2025-02-04,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,58,7.25,Std,before
SH000057,WH_SOUTH,DC_HCMC,SKU0024,2025-02-03,2025-02-04,2025-02-04,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,69,7.74,Std,before
SH000058,WH_SOUTH,DC_HCMC,SKU0007,2025-02-03,2025-02-04,2025-02-04,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,43,4.88,Std,before
SH000059,WH_SOUTH,DC_HCMC,SKU0016,2025-02-03,2025-02-04,2025-02-04,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,31,3.76,Std,before
SH000060,WH_SOUTH,DC_HCMC,SKU0011,2025-02-03,2025-02-04,2025-02-04,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,17,1.78,Std,before
SH000061,WH_NORTH,DC_HN,SKU0013,2025-02-06,2025-02-07,2025-02-07,CarrierC,Road,WH_NORTH->DC_HN:Road,126,16.85,Expedite,before
SH000062,WH_NORTH,DC_HN,SKU0004,2025-02-06,2025-02-07,2025-02-07,CarrierB,Road,WH_NORTH->DC_HN:Road,110,13.08,Expedite,before
SH000063,WH_NORTH,DC_HN,SKU0005,2025-02-06,2025-02-07,2025-02-07,CarrierA,Road,WH_NORTH->DC_HN:Road,105,12.74,Expedite,before
SH000064,WH_NORTH,DC_HN,SKU0002,2025-02-06,2025-02-07,2025-02-07,CarrierA,Road,WH_NORTH->DC_HN:Road,76,10.73,Expedite,before
SH000065,WH_NORTH,DC_HN,SKU0018,2025-02-04,2025-02-05,2025-02-05,CarrierB,Road,WH_NORTH->DC_HN:Road,56,7.26,Launch,before
SH000066,WH_NORTH,DC_HN,SKU0016,2025-02-04,2025-02-05,2025-02-05,CarrierA,Road,WH_NORTH->DC_HN:Road,144,16.83,Std,before
SH000067,WH_NORTH,DC_HN,SKU0023,2025-02-04,2025-02-05,2025-02-05,CarrierC,Road,WH_NORTH->DC_HN:Road,117,16.51,Std,before
SH000068,WH_NORTH,DC_HN,SKU0002,2025-02-04,2025-02-05,2025-02-05,CarrierA,Road,WH_NORTH->DC_HN:Road,98,13.37,Std,before
SH000069,WH_NORTH,DC_HN,SKU0020,2025-02-04,2025-02-05,2025-02-05,CarrierB,Road,WH_NORTH->DC_HN:Road,70,9.67,Std,before
SH000070,WH_NORTH,DC_HN,SKU0013,2025-02-04,2025-02-05,2025-02-05,CarrierA,Road,WH_NORTH->DC_HN:Road,55,7.65,Std,before
SH000071,WH_NORTH,DC_HN,SKU0028,2025-02-04,2025-02-05,2025-02-05,CarrierA,Road,WH_NORTH->DC_HN:Road,23,3.01,Std,before
SH000072,WH_SOUTH,DC_CT,SKU0011,2025-02-12,2025-02-13,2025-02-13,CarrierA,Road,WH_SOUTH->DC_CT:Road,88,13.94,Std,before
SH000073,WH_SOUTH,DC_CT,SKU0022,2025-02-12,2025-02-13,2025-02-13,CarrierB,Road,WH_SOUTH->DC_CT:Road,52,8.54,Std,before
SH000074,WH_NORTH,DC_DN,SKU0024,2025-02-10,2025-02-12,2025-02-12,CarrierC,Road,WH_NORTH->DC_DN:Road,68,14.49,Launch,before
SH000075,WH_NORTH,DC_DN,SKU0013,2025-02-12,2025-02-14,2025-02-14,CarrierA,Road,WH_NORTH->DC_DN:Road,306,61.44,Std,before
SH000076,WH_NORTH,DC_DN,SKU0018,2025-02-12,2025-02-14,2025-02-14,CarrierA,Road,WH_NORTH->DC_DN:Road,75,15.31,Std,before
SH000077,WH_NORTH,DC_DN,SKU0027,2025-02-12,2025-02-14,2025-02-14,CarrierA,Road,WH_NORTH->DC_DN:Road,50,10.95,Std,before
SH000078,WH_SOUTH,DC_HCMC,SKU0016,2025-02-10,2025-02-11,2025-02-11,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,88,11.26,Launch,before
SH000079,WH_SOUTH,DC_HCMC,SKU0013,2025-02-12,2025-02-13,2025-02-13,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,108,14.01,Std,before
SH000080,WH_SOUTH,DC_HCMC,SKU0004,2025-02-12,2025-02-13,2025-02-13,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,112,14.21,Std,before
SH000081,WH_SOUTH,DC_HCMC,SKU0026,2025-02-12,2025-02-13,2025-02-13,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,92,10.72,Std,before
SH000082,WH_SOUTH,DC_HCMC,SKU0008,2025-02-12,2025-02-13,2025-02-13,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,89,9.87,Std,before
SH000083,WH_SOUTH,DC_HCMC,SKU0019,2025-02-12,2025-02-13,2025-02-13,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,63,8.05,Std,before
SH000084,WH_SOUTH,DC_HCMC,SKU0030,2025-02-12,2025-02-13,2025-02-13,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,60,7.65,Std,before
SH000085,WH_NORTH,DC_HN,SKU0013,2025-02-11,2025-02-12,2025-02-12,CarrierA,Road,WH_NORTH->DC_HN:Road,97,12.6,Launch,before
SH000086,WH_NORTH,DC_HN,SKU0004,2025-02-13,2025-02-14,2025-02-14,CarrierA,Road,WH_NORTH->DC_HN:Road,122,15.05,Std,before
SH000087,WH_NORTH,DC_HN,SKU0020,2025-02-13,2025-02-14,2025-02-14,CarrierC,Road,WH_NORTH->DC_HN:Road,75,9.33,Std,before
SH000088,WH_NORTH,DC_HN,SKU0022,2025-02-13,2025-02-14,2025-02-14,CarrierA,Road,WH_NORTH->DC_HN:Road,54,7.19,Std,before
SH000089,WH_NORTH,DC_HN,SKU0006,2025-02-13,2025-02-14,2025-02-14,CarrierB,Road,WH_NORTH->DC_HN:Road,49,6.45,Std,before
SH000090,WH_SOUTH,DC_CT,SKU0025,2025-02-19,2025-02-20,2025-02-20,CarrierA,Road,WH_SOUTH->DC_CT:Road,93,13.26,Expedite,before
SH000091,WH_SOUTH,DC_CT,SKU0028,2025-02-18,2025-02-19,2025-02-19,CarrierA,Road,WH_SOUTH->DC_CT:Road,60,9.21,Launch,before
SH000092,WH_SOUTH,DC_CT,SKU0004,2025-02-18,2025-02-19,2025-02-22,CarrierB,Road,WH_SOUTH->DC_CT:Road,227,30.24,Std,before
SH000093,WH_SOUTH,DC_CT,SKU0008,2025-02-18,2025-02-19,2025-02-22,CarrierA,Road,WH_SOUTH->DC_CT:Road,58,8.46,Std,before
SH000094,WH_SOUTH,DC_CT,SKU0020,2025-02-18,2025-02-19,2025-02-22,CarrierA,Road,WH_SOUTH->DC_CT:Road,33,5.07,Std,before
SH000095,WH_NORTH,DC_DN,SKU0003,2025-02-19,2025-02-21,2025-02-25,CarrierC,Road,WH_NORTH->DC_DN:Road,98,19.39,Expedite,before
SH000096,WH_NORTH,DC_DN,SKU0003,2025-02-19,2025-02-21,2025-02-21,CarrierB,Road,WH_NORTH->DC_DN:Road,125,24.31,Launch,before
SH000097,WH_NORTH,DC_DN,SKU0027,2025-02-19,2025-02-21,2025-02-21,CarrierC,Road,WH_NORTH->DC_DN:Road,45,8.82,Launch,before
SH000098,WH_NORTH,DC_DN,SKU0027,2025-02-17,2025-02-19,2025-02-19,CarrierA,Road,WH_NORTH->DC_DN:Road,134,30.49,Std,before
SH000099,WH_NORTH,DC_DN,SKU0021,2025-02-17,2025-02-19,2025-02-19,CarrierA,Road,WH_NORTH->DC_DN:Road,84,18.16,Std,before
SH000100,WH_NORTH,DC_DN,SKU0028,2025-02-17,2025-02-19,2025-02-19,CarrierB,Road,WH_NORTH->DC_DN:Road,41,8.42,Std,before
SH000101,WH_SOUTH,DC_HCMC,SKU0017,2025-02-19,2025-02-20,2025-02-20,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,69,7.51,Expedite,before
SH000102,WH_SOUTH,DC_HCMC,SKU0019,2025-02-19,2025-02-20,2025-02-20,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,46,5.03,Expedite,before
SH000103,WH_SOUTH,DC_HCMC,SKU0019,2025-02-19,2025-02-20,2025-02-22,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,149,17.47,Std,before
SH000104,WH_SOUTH,DC_HCMC,SKU0026,2025-02-19,2025-02-20,2025-02-22,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,130,15.04,Std,before
SH000105,WH_SOUTH,DC_HCMC,SKU0024,2025-02-19,2025-02-20,2025-02-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,111,12.38,Std,before
SH000106,WH_SOUTH,DC_HCMC,SKU0029,2025-02-19,2025-02-20,2025-02-22,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,122,13.71,Std,before
SH000107,WH_SOUTH,DC_HCMC,SKU0018,2025-02-19,2025-02-20,2025-02-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,119,14.19,Std,before
SH000108,WH_SOUTH,DC_HCMC,SKU0003,2025-02-19,2025-02-20,2025-02-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,102,12.55,Std,before
SH000109,WH_SOUTH,DC_HCMC,SKU0017,2025-02-19,2025-02-20,2025-02-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,63,7.76,Std,before
SH000110,WH_SOUTH,DC_HCMC,SKU0030,2025-02-19,2025-02-20,2025-02-22,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,48,5.63,Std,before
SH000111,WH_NORTH,DC_HN,SKU0013,2025-02-19,2025-02-20,2025-02-20,CarrierA,Road,WH_NORTH->DC_HN:Road,416,52.03,Expedite,before
SH000112,WH_NORTH,DC_HN,SKU0009,2025-02-19,2025-02-20,2025-02-20,CarrierA,Road,WH_NORTH->DC_HN:Road,204,23.44,Expedite,before
SH000113,WH_NORTH,DC_HN,SKU0028,2025-02-19,2025-02-20,2025-02-20,CarrierB,Road,WH_NORTH->DC_HN:Road,89,10.67,Expedite,before
SH000114,WH_NORTH,DC_HN,SKU0004,2025-02-19,2025-02-20,2025-02-20,CarrierA,Road,WH_NORTH->DC_HN:Road,58,7.13,Expedite,before
SH000115,WH_NORTH,DC_HN,SKU0019,2025-02-19,2025-02-20,2025-02-20,CarrierB,Road,WH_NORTH->DC_HN:Road,51,6.44,Expedite,before
SH000116,WH_NORTH,DC_HN,SKU0015,2025-02-17,2025-02-18,2025-02-18,CarrierB,Road,WH_NORTH->DC_HN:Road,248,35.05,Std,before
SH000117,WH_NORTH,DC_HN,SKU0023,2025-02-17,2025-02-18,2025-02-18,CarrierC,Road,WH_NORTH->DC_HN:Road,152,18.03,Std,before
SH000118,WH_NORTH,DC_HN,SKU0026,2025-02-17,2025-02-18,2025-02-18,CarrierC,Road,WH_NORTH->DC_HN:Road,141,19.86,Std,before
SH000119,WH_NORTH,DC_HN,SKU0017,2025-02-17,2025-02-18,2025-02-18,CarrierB,Road,WH_NORTH->DC_HN:Road,115,13.35,Std,before
SH000120,WH_SOUTH,DC_CT,SKU0025,2025-02-27,2025-02-28,2025-02-28,CarrierB,Road,WH_SOUTH->DC_CT:Road,148,23.12,Expedite,before
SH000121,WH_SOUTH,DC_CT,SKU0018,2025-02-24,2025-02-25,2025-02-25,CarrierA,Road,WH_SOUTH->DC_CT:Road,139,20.51,Launch,before
SH000122,WH_SOUTH,DC_CT,SKU0025,2025-02-25,2025-02-26,2025-02-26,CarrierC,Road,WH_SOUTH->DC_CT:Road,417,57.8,Std,before
SH000123,WH_SOUTH,DC_CT,SKU0028,2025-02-25,2025-02-26,2025-02-26,CarrierB,Road,WH_SOUTH->DC_CT:Road,96,13.73,Std,before
SH000124,WH_SOUTH,DC_CT,SKU0011,2025-02-25,2025-02-26,2025-02-26,CarrierA,Road,WH_SOUTH->DC_CT:Road,72,10.16,Std,before
SH000125,WH_SOUTH,DC_CT,SKU0018,2025-02-25,2025-02-26,2025-02-26,CarrierB,Road,WH_SOUTH->DC_CT:Road,68,10.45,Std,before
SH000126,WH_SOUTH,DC_CT,SKU0017,2025-02-25,2025-02-26,2025-02-26,CarrierA,Road,WH_SOUTH->DC_CT:Road,57,8.64,Std,before
SH000127,WH_SOUTH,DC_CT,SKU0021,2025-02-25,2025-02-26,2025-02-26,CarrierC,Road,WH_SOUTH->DC_CT:Road,20,3.15,Std,before
SH000128,WH_NORTH,DC_DN,SKU0013,2025-02-25,2025-02-27,2025-02-27,CarrierA,Road,WH_NORTH->DC_DN:Road,88,17.25,Expedite,before
SH000129,WH_NORTH,DC_DN,SKU0016,2025-02-26,2025-02-28,2025-02-28,CarrierA,Road,WH_NORTH->DC_DN:Road,119,24.16,Launch,before
SH000130,WH_NORTH,DC_DN,SKU0028,2025-02-24,2025-02-26,2025-03-03,CarrierA,Road,WH_NORTH->DC_DN:Road,115,22.44,Std,before
SH000131,WH_NORTH,DC_DN,SKU0030,2025-02-24,2025-02-26,2025-03-03,CarrierA,Road,WH_NORTH->DC_DN:Road,39,9.2,Std,before
SH000132,WH_SOUTH,DC_HCMC,SKU0024,2025-02-26,2025-02-27,2025-02-27,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,62,6.69,Expedite,before
SH000133,WH_SOUTH,DC_HCMC,SKU0004,2025-02-26,2025-02-27,2025-02-27,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,39,4.58,Expedite,before
SH000134,WH_SOUTH,DC_HCMC,SKU0010,2025-02-24,2025-02-25,2025-02-26,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,109,11.79,Launch,before
SH000135,WH_SOUTH,DC_HCMC,SKU0016,2025-02-24,2025-02-25,2025-02-26,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,122,15.04,Launch,before
SH000136,WH_SOUTH,DC_HCMC,SKU0015,2025-02-24,2025-02-25,2025-02-25,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,146,18.81,Std,before
SH000137,WH_SOUTH,DC_HCMC,SKU0006,2025-02-24,2025-02-25,2025-02-25,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,134,15.18,Std,before
SH000138,WH_SOUTH,DC_HCMC,SKU0014,2025-02-24,2025-02-25,2025-02-25,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,96,11.53,Std,before
SH000139,WH_SOUTH,DC_HCMC,SKU0007,2025-02-24,2025-02-25,2025-02-25,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,81,9.52,Std,before
SH000140,WH_SOUTH,DC_HCMC,SKU0005,2025-02-24,2025-02-25,2025-02-25,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,27,3.21,Std,before
SH000141,WH_SOUTH,DC_HCMC,SKU0008,2025-02-24,2025-02-25,2025-02-25,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,30,3.48,Std,before
SH000142,WH_NORTH,DC_HN,SKU0009,2025-02-25,2025-02-26,2025-02-26,CarrierA,Road,WH_NORTH->DC_HN:Road,86,9.86,Expedite,before
SH000143,WH_NORTH,DC_HN,SKU0019,2025-02-25,2025-02-26,2025-02-26,CarrierC,Road,WH_NORTH->DC_HN:Road,65,9.02,Expedite,before
SH000144,WH_NORTH,DC_HN,SKU0001,2025-02-25,2025-02-26,2025-02-26,CarrierB,Road,WH_NORTH->DC_HN:Road,64,8.11,Expedite,before
SH000145,WH_NORTH,DC_HN,SKU0005,2025-02-25,2025-02-26,2025-02-26,CarrierC,Road,WH_NORTH->DC_HN:Road,57,7.73,Expedite,before
SH000146,WH_NORTH,DC_HN,SKU0009,2025-02-26,2025-02-27,2025-02-27,CarrierB,Road,WH_NORTH->DC_HN:Road,143,18.63,Launch,before
SH000147,WH_NORTH,DC_HN,SKU0013,2025-02-26,2025-02-27,2025-02-27,CarrierB,Road,WH_NORTH->DC_HN:Road,95,12.32,Launch,before
SH000148,WH_NORTH,DC_HN,SKU0025,2025-02-26,2025-02-27,2025-02-27,CarrierB,Road,WH_NORTH->DC_HN:Road,160,20.74,Std,before
SH000149,WH_NORTH,DC_HN,SKU0009,2025-02-26,2025-02-27,2025-02-27,CarrierA,Road,WH_NORTH->DC_HN:Road,135,19.1,Std,before
SH000150,WH_NORTH,DC_HN,SKU0010,2025-02-26,2025-02-27,2025-02-27,CarrierA,Road,WH_NORTH->DC_HN:Road,107,15.02,Std,before
SH000151,WH_NORTH,DC_HN,SKU0024,2025-02-26,2025-02-27,2025-02-27,CarrierA,Road,WH_NORTH->DC_HN:Road,101,13.34,Std,before
SH000152,WH_SOUTH,DC_CT,SKU0008,2025-03-06,2025-03-07,2025-03-07,CarrierB,Road,WH_SOUTH->DC_CT:Road,55,8.51,Launch,before
SH000153,WH_SOUTH,DC_CT,SKU0012,2025-03-04,2025-03-05,2025-03-05,CarrierB,Road,WH_SOUTH->DC_CT:Road,66,10.29,Std,before
SH000154,WH_SOUTH,DC_CT,SKU0019,2025-03-04,2025-03-05,2025-03-05,CarrierA,Road,WH_SOUTH->DC_CT:Road,39,6.36,Std,before
SH000155,WH_NORTH,DC_DN,SKU0002,2025-03-06,2025-03-08,2025-03-10,CarrierB,Road,WH_NORTH->DC_DN:Road,391,81.79,Expedite,before
SH000156,WH_NORTH,DC_DN,SKU0009,2025-03-06,2025-03-08,2025-03-10,CarrierA,Road,WH_NORTH->DC_DN:Road,361,69.78,Expedite,before
SH000157,WH_NORTH,DC_DN,SKU0014,2025-03-05,2025-03-07,2025-03-07,CarrierB,Road,WH_NORTH->DC_DN:Road,121,25.66,Std,before
SH000158,WH_NORTH,DC_DN,SKU0021,2025-03-05,2025-03-07,2025-03-07,CarrierA,Road,WH_NORTH->DC_DN:Road,47,10.59,Std,before
SH000159,WH_NORTH,DC_DN,SKU0018,2025-03-05,2025-03-07,2025-03-07,CarrierA,Road,WH_NORTH->DC_DN:Road,45,10.5,Std,before
SH000160,WH_SOUTH,DC_HCMC,SKU0011,2025-03-04,2025-03-05,2025-03-05,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,47,6.04,Expedite,before
SH000161,WH_SOUTH,DC_HCMC,SKU0019,2025-03-03,2025-03-04,2025-03-04,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,70,8.81,Launch,before
