event_id,work_order_id,sales_order_id,sku_id,factory_id,production_line_id,operation_step,area,step_start_time,step_end_time,produced_qty,rejected_qty,rework_qty,setup_type,setup_time_min,labor_hours,machine_hours,scenario
EV0000030,WO000005,SO00289,SKU0013,F1,F1-L1,QC_FINAL,Quality,2025-01-06 15:08:28.801198,2025-01-06 16:10:08.586274,85,4,2,minor,1.12,0.92,0.41,before
EV0000031,WO000005,SO00289,SKU0013,F1,F1-L1,REWORK,Rework,2025-01-06 17:39:14.552072,2025-01-06 17:44:35.724644,2,0,0,none,0.0,0.1,0.02,before
EV0000032,WO000005,SO00289,SKU0013,F1,F1-L3,PACK,Packing,2025-01-06 17:54:17.277215,2025-01-06 20:39:20.214202,85,3,0,minor,2.33,2.48,1.1,before
EV0000033,WO000006,SO00145,SKU0005,F2,F2-L1,CUT,Cutting,2025-01-08 11:15:06.465245,2025-01-08 15:34:39.288692,63,1,0,start_of_day,12.77,3.89,4.33,before
EV0000034,WO000006,SO00145,SKU0005,F2,F2-L2,SEW,Sewing,2025-01-08 16:30:12.640772,2025-01-09 20:30:43.455073,63,1,0,minor,13.71,44.81,28.01,before
EV0000035,WO000006,SO00145,SKU0005,F2,F2-L2,QC_INLINE,Quality,2025-01-09 21:10:23.874051,2025-01-09 21:48:21.625783,63,2,1,minor,1.17,0.57,0.25,before
EV0000036,WO000006,SO00145,SKU0005,F2,F2-L2,FINISH,Finishing,2025-01-09 21:56:44.784462,2025-01-10 03:32:43.554255,63,3,0,minor,1.32,6.72,2.24,before
EV0000037,WO000006,SO00145,SKU0005,F2,F2-L3,QC_FINAL,Quality,2025-01-10 03:50:51.033927,2025-01-10 04:35:23.588721,63,2,1,minor,0.96,0.67,0.3,before
EV0000038,WO000006,SO00145,SKU0005,F2,F2-L3,REWORK,Rework,2025-01-10 05:06:18.260364,2025-01-10 05:07:56.861958,1,0,0,none,0.0,0.03,0.01,before
EV0000039,WO000006,SO00145,SKU0005,F2,F2-L1,PACK,Packing,2025-01-10 05:22:44.570766,2025-01-10 07:01:00.269304,63,3,0,minor,1.31,1.47,0.66,before
EV0000040,WO000007,SO00564,SKU0014,F1,F1-L2,CUT,Cutting,2025-01-06 10:03:45.028516,2025-01-06 13:43:29.881205,52,1,0,start_of_day,15.48,3.3,3.66,before
EV0000041,WO000007,SO00564,SKU0014,F1,F1-L1,SEW,Sewing,2025-01-06 14:26:50.488635,2025-01-07 13:49:29.370937,52,1,0,minor,14.31,37.4,23.38,before
EV0000042,WO000007,SO00564,SKU0014,F1,F1-L3,QC_INLINE,Quality,2025-01-07 14:46:40.982114,2025-01-07 15:24:16.081175,52,6,3,minor,4.83,0.56,0.25,before
EV0000043,WO000007,SO00564,SKU0014,F1,F1-L3,REWORK,Rework,2025-01-07 15:53:12.077393,2025-01-07 15:59:07.523704,3,0,0,none,0.0,0.11,0.02,before
EV0000044,WO000007,SO00564,SKU0014,F1,F1-L1,FINISH,Finishing,2025-01-07 16:13:40.469181,2025-01-07 20:36:30.240949,52,4,0,minor,0.81,5.26,1.75,before
EV0000045,WO000007,SO00564,SKU0014,F1,F1-L3,QC_FINAL,Quality,2025-01-07 20:46:05.599001,2025-01-07 21:27:27.926551,52,3,2,minor,1.75,0.62,0.28,before
EV0000046,WO000007,SO00564,SKU0014,F1,F1-L3,REWORK,Rework,2025-01-07 22:00:17.339365,2025-01-07 22:03:26.633370,2,0,0,none,0.0,0.06,0.01,before
EV0000047,WO000007,SO00564,SKU0014,F1,F1-L2,PACK,Packing,2025-01-07 22:18:47.626665,2025-01-07 23:46:49.681311,52,0,0,minor,1.29,1.32,0.59,before
EV0000048,WO000008,SO00006,SKU0007,F1,F1-L2,CUT,Cutting,2025-01-08 09:30:28.183567,2025-01-08 17:58:05.261358,140,3,0,start_of_day,13.34,7.61,8.46,before
EV0000049,WO000008,SO00006,SKU0007,F1,F1-L2,SEW,Sewing,2025-01-08 18:33:49.314937,2025-01-11 01:18:28.566174,140,1,0,minor,4.08,87.59,54.74,before
EV0000050,WO000008,SO00006,SKU0007,F1,F1-L2,QC_INLINE,Quality,2025-01-11 02:22:39.748227,2025-01-11 03:44:59.496173,140,3,2,minor,1.74,1.23,0.55,before
EV0000051,WO000008,SO00006,SKU0007,F1,F1-L3,FINISH,Finishing,2025-01-11 04:20:57.745209,2025-01-11 16:00:59.280877,140,1,0,minor,4.3,14.0,4.67,before
EV0000052,WO000008,SO00006,SKU0007,F1,F1-L3,QC_FINAL,Quality,2025-01-11 16:13:25.414410,2025-01-11 18:13:15.804017,140,8,4,minor,0.82,1.8,0.8,before
EV0000053,WO000008,SO00006,SKU0007,F1,F1-L1,PACK,Packing,2025-01-11 18:24:32.027723,2025-01-11 21:58:52.183186,140,2,0,minor,1.78,3.22,1.43,before
EV0000054,WO000009,SO00562,SKU0001,F1,F1-L2,CUT,Cutting,2025-01-03 09:17:27.856766,2025-01-03 13:56:31.511157,62,0,0,start_of_day,8.22,4.19,4.65,before
EV0000055,WO000009,SO00562,SKU0001,F1,F1-L3,SEW,Sewing,2025-01-03 14:04:02.287625,2025-01-04 20:08:02.929018,62,2,0,minor,7.17,48.11,30.07,before
EV0000056,WO000009,SO00562,SKU0001,F1,F1-L1,QC_INLINE,Quality,2025-01-04 20:42:16.582264,2025-01-04 21:24:05.830557,62,4,2,minor,2.1,0.63,0.28,before
EV0000057,WO000009,SO00562,SKU0001,F1,F1-L3,FINISH,Finishing,2025-01-04 21:48:11.243610,2025-01-05 03:07:31.341558,62,1,0,minor,1.61,6.39,2.13,before
EV0000058,WO000009,SO00562,SKU0001,F1,F1-L2,QC_FINAL,Quality,2025-01-05 03:18:49.647690,2025-01-05 04:04:45.888071,62,3,2,minor,2.81,0.69,0.31,before
EV0000059,WO000009,SO00562,SKU0001,F1,F1-L2,REWORK,Rework,2025-01-05 05:26:01.075388,2025-01-05 05:31:35.000592,2,0,0,none,0.0,0.1,0.02,before
EV0000060,WO000009,SO00562,SKU0001,F1,F1-L3,PACK,Packing,2025-01-05 05:42:47.131724,2025-01-05 07:44:19.323864,62,2,0,minor,3.29,1.82,0.81,before
EV0000061,WO000010,SO00550,SKU0020,F2,F2-L2,CUT,Cutting,2025-01-03 08:32:51.237984,2025-01-03 13:54:31.705306,99,3,0,start_of_day,5.7,4.83,5.36,before
EV0000062,WO000010,SO00550,SKU0020,F2,F2-L3,SEW,Sewing,2025-01-03 16:04:03.352263,2025-01-05 00:26:17.256490,99,2,0,minor,13.47,51.79,32.37,before
EV0000063,WO000010,SO00550,SKU0020,F2,F2-L3,QC_INLINE,Quality,2025-01-05 01:22:54.445504,2025-01-05 02:31:36.206575,99,2,1,minor,2.53,1.03,0.46,before
EV0000064,WO000010,SO00550,SKU0020,F2,F2-L3,REWORK,Rework,2025-01-05 02:50:29.891021,2025-01-05 02:51:40.921821,1,0,0,none,0.0,0.02,0.0,before
EV0000065,WO000010,SO00550,SKU0020,F2,F2-L1,FINISH,Finishing,2025-01-05 03:17:08.079001,2025-01-05 09:04:46.718133,99,1,0,minor,1.99,6.95,2.32,before
EV0000066,WO000010,SO00550,SKU0020,F2,F2-L1,QC_FINAL,Quality,2025-01-05 09:15:59.553294,2025-01-05 11:01:05.452361,99,2,1,minor,3.7,1.58,0.7,before
EV0000067,WO000010,SO00550,SKU0020,F2,F2-L1,REWORK,Rework,2025-01-05 11:59:22.488199,2025-01-05 12:01:30.616136,1,0,0,none,0.0,0.04,0.01,before
EV0000068,WO000010,SO00550,SKU0020,F2,F2-L3,PACK,Packing,2025-01-05 12:09:27.326533,2025-01-05 15:03:26.051363,99,0,0,minor,1.88,2.61,1.16,before
EV0000069,WO000011,SO00569,SKU0029,F1,F1-L3,CUT,Cutting,2025-01-04 10:12:03.681259,2025-01-04 13:04:54.436136,63,3,0,start_of_day,7.87,2.59,2.88,before
EV0000070,WO000011,SO00569,SKU0029,F1,F1-L3,SEW,Sewing,2025-01-04 13:46:14.456110,2025-01-04 18:43:24.140566,63,2,0,minor,5.6,7.92,4.95,before
EV0000071,WO000011,SO00569,SKU0029,F1,F1-L2,QC_INLINE,Quality,2025-01-04 19:56:46.381246,2025-01-04 20:30:38.660818,63,3,2,minor,4.2,0.51,0.23,before
EV0000072,WO000011,SO00569,SKU0029,F1,F1-L2,REWORK,Rework,2025-01-04 20:55:19.850244,2025-01-04 20:58:25.610335,2,0,0,none,0.0,0.06,0.01,before
EV0000073,WO000011,SO00569,SKU0029,F1,F1-L2,FINISH,Finishing,2025-01-04 21:09:58.604527,2025-01-05 00:06:39.743646,63,1,0,minor,0.8,3.53,1.18,before
EV0000074,WO000011,SO00569,SKU0029,F1,F1-L3,QC_FINAL,Quality,2025-01-05 00:26:46.744441,2025-01-05 01:21:39.641614,63,2,1,minor,1.0,0.82,0.37,before
EV0000075,WO000011,SO00569,SKU0029,F1,F1-L1,PACK,Packing,2025-01-05 01:32:54.677805,2025-01-05 03:11:44.859601,63,1,0,minor,0.78,1.48,0.66,before
EV0000076,WO000012,SO00242,SKU0006,F2,F2-L1,CUT,Cutting,2025-01-06 08:13:18.033776,2025-01-06 20:14:19.430069,147,2,0,start_of_day,14.69,10.82,12.02,before
EV0000077,WO000012,SO00242,SKU0006,F2,F2-L3,SEW,Sewing,2025-01-06 21:21:39.977690,2025-01-10 03:04:34.996363,147,4,0,minor,16.21,124.34,77.72,before
EV0000078,WO000012,SO00242,SKU0006,F2,F2-L3,QC_INLINE,Quality,2025-01-10 05:41:45.925842,2025-01-10 07:24:09.129944,147,7,4,minor,2.9,1.54,0.68,before
EV0000079,WO000012,SO00242,SKU0006,F2,F2-L3,FINISH,Finishing,2025-01-10 07:30:17.908468,2025-01-10 19:11:40.382043,147,2,0,minor,5.41,14.03,4.68,before
EV0000080,WO000012,SO00242,SKU0006,F2,F2-L1,QC_FINAL,Quality,2025-01-10 19:20:24.210454,2025-01-10 21:26:19.007574,147,8,4,minor,0.96,1.89,0.84,before
EV0000081,WO000012,SO00242,SKU0006,F2,F2-L1,PACK,Packing,2025-01-10 21:29:56.521725,2025-01-11 01:22:58.171961,147,5,0,minor,1.27,3.5,1.55,before
EV0000082,WO000013,SO00498,SKU0009,F1,F1-L3,CUT,Cutting,2025-01-12 09:27:24.206461,2025-01-12 20:28:27.836655,249,5,0,start_of_day,16.27,9.92,11.02,before
EV0000083,WO000013,SO00498,SKU0009,F1,F1-L3,SEW,Sewing,2025-01-12 20:51:06.323348,2025-01-15 08:45:29.667418,249,8,0,minor,2.91,95.85,59.91,before
EV0000084,WO000013,SO00498,SKU0009,F1,F1-L2,QC_INLINE,Quality,2025-01-15 10:17:17.654740,2025-01-15 12:34:17.543410,249,12,7,minor,2.13,2.05,0.91,before
EV0000085,WO000013,SO00498,SKU0009,F1,F1-L2,REWORK,Rework,2025-01-15 13:56:40.920999,2025-01-15 14:07:51.583618,7,0,0,none,0.0,0.2,0.04,before
EV0000086,WO000013,SO00498,SKU0009,F1,F1-L3,FINISH,Finishing,2025-01-15 14:20:56.038141,2025-01-16 00:43:02.079044,249,6,0,minor,2.84,12.44,4.15,before
EV0000087,WO000013,SO00498,SKU0009,F1,F1-L2,QC_FINAL,Quality,2025-01-16 01:26:52.352349,2025-01-16 04:22:27.862811,249,6,3,minor,3.24,2.63,1.17,before
EV0000088,WO000013,SO00498,SKU0009,F1,F1-L1,PACK,Packing,2025-01-16 04:40:28.308273,2025-01-16 11:15:59.425765,249,4,0,minor,2.04,5.93,2.64,before
EV0000089,WO000014,SO00405,SKU0018,F1,F1-L1,CUT,Cutting,2025-01-04 08:56:41.122371,2025-01-04 15:02:26.636967,129,0,0,start_of_day,15.33,5.49,6.1,before
EV0000090,WO000014,SO00405,SKU0018,F1,F1-L3,SEW,Sewing,2025-01-04 15:35:21.612269,2025-01-05 06:54:30.872585,129,0,0,minor,4.54,24.51,15.32,before
EV0000091,WO000014,SO00405,SKU0018,F1,F1-L2,QC_INLINE,Quality,2025-01-05 08:49:57.137267,2025-01-05 10:01:14.221257,129,8,4,minor,3.67,1.07,0.48,before
EV0000092,WO000014,SO00405,SKU0018,F1,F1-L1,FINISH,Finishing,2025-01-05 10:27:16.998399,2025-01-05 17:50:26.743966,129,3,0,minor,1.61,8.86,2.95,before
EV0000093,WO000014,SO00405,SKU0018,F1,F1-L1,QC_FINAL,Quality,2025-01-05 18:00:51.466123,2025-01-05 19:41:06.217950,129,5,3,minor,1.31,1.5,0.67,before
EV0000094,WO000014,SO00405,SKU0018,F1,F1-L1,PACK,Packing,2025-01-05 19:51:59.924161,2025-01-06 00:00:49.543050,129,1,0,minor,1.77,3.73,1.66,before
EV0000095,WO000015,SO00354,SKU0028,F2,F2-L3,CUT,Cutting,2025-01-09 09:06:17.810053,2025-01-09 13:23:25.924484,64,5,0,start_of_day,10.93,3.86,4.29,before
EV0000096,WO000015,SO00354,SKU0028,F2,F2-L2,SEW,Sewing,2025-01-09 13:52:25.623889,2025-01-10 10:52:28.846472,64,2,0,minor,3.77,33.6,21.0,before
EV0000097,WO000015,SO00354,SKU0028,F2,F2-L3,QC_INLINE,Quality,2025-01-10 12:19:12.542514,2025-01-10 13:10:29.548794,64,1,1,minor,2.0,0.77,0.34,before
EV0000098,WO000015,SO00354,SKU0028,F2,F2-L3,REWORK,Rework,2025-01-10 13:31:59.788487,2025-01-10 13:33:50.827640,1,0,0,none,0.0,0.03,0.01,before
EV0000099,WO000015,SO00354,SKU0028,F2,F2-L1,FINISH,Finishing,2025-01-10 13:38:15.117686,2025-01-10 18:35:47.278516,64,0,0,minor,1.98,5.95,1.98,before
EV0000100,WO000015,SO00354,SKU0028,F2,F2-L2,QC_FINAL,Quality,2025-01-10 19:20:48.702728,2025-01-10 20:20:24.507824,64,2,1,minor,2.45,0.89,0.4,before
EV0000101,WO000015,SO00354,SKU0028,F2,F2-L2,PACK,Packing,2025-01-10 20:26:17.440811,2025-01-10 22:16:40.675307,64,0,0,minor,2.34,1.66,0.74,before
EV0000102,WO000016,SO00415,SKU0014,F1,F1-L1,CUT,Cutting,2025-01-08 11:15:32.507786,2025-01-08 17:06:45.439190,89,1,0,start_of_day,6.58,5.27,5.85,before
EV0000103,WO000016,SO00415,SKU0014,F1,F1-L1,SEW,Sewing,2025-01-08 17:38:51.084234,2025-01-10 03:09:51.259525,89,1,0,minor,7.15,53.63,33.52,before
EV0000104,WO000016,SO00415,SKU0014,F1,F1-L2,QC_INLINE,Quality,2025-01-10 04:17:15.932007,2025-01-10 05:19:46.853025,89,2,1,minor,2.56,0.94,0.42,before
EV0000105,WO000016,SO00415,SKU0014,F1,F1-L3,FINISH,Finishing,2025-01-10 05:32:36.610409,2025-01-10 12:29:19.206657,89,1,0,minor,1.68,8.33,2.78,before
EV0000106,WO000016,SO00415,SKU0014,F1,F1-L2,QC_FINAL,Quality,2025-01-10 12:38:14.305251,2025-01-10 13:46:56.590897,89,1,1,minor,1.13,1.03,0.46,before
EV0000107,WO000016,SO00415,SKU0014,F1,F1-L2,PACK,Packing,2025-01-10 14:05:49.743796,2025-01-10 16:30:42.494691,89,0,0,minor,1.53,2.17,0.97,before
EV0000108,WO000017,SO00094,SKU0013,F1,F1-L2,CUT,Cutting,2025-01-08 10:55:13.829072,2025-01-08 15:14:22.225096,105,2,0,start_of_day,14.76,3.89,4.32,before
EV0000109,WO000017,SO00094,SKU0013,F1,F1-L3,SEW,Sewing,2025-01-08 15:45:29.863617,2025-01-09 20:11:02.905409,105,1,0,minor,6.78,45.48,28.43,before
EV0000110,WO000017,SO00094,SKU0013,F1,F1-L2,QC_INLINE,Quality,2025-01-09 21:13:22.028375,2025-01-09 22:14:36.917823,105,3,2,minor,2.64,0.92,0.41,before
EV0000111,WO000017,SO00094,SKU0013,F1,F1-L3,FINISH,Finishing,2025-01-09 22:35:08.992226,2025-01-10 04:16:24.316838,105,2,0,minor,4.68,6.83,2.28,before
EV0000112,WO000017,SO00094,SKU0013,F1,F1-L2,QC_FINAL,Quality,2025-01-10 04:27:53.997938,2025-01-10 06:04:06.359941,105,2,1,minor,4.52,1.44,0.64,before
EV0000113,WO000017,SO00094,SKU0013,F1,F1-L2,REWORK,Rework,2025-01-10 06:17:46.313479,2025-01-10 06:19:48.327502,1,0,0,none,0.0,0.04,0.01,before
EV0000114,WO000017,SO00094,SKU0013,F1,F1-L3,PACK,Packing,2025-01-10 07:02:36.874594,2025-01-10 09:49:44.754861,105,1,0,minor,2.93,2.51,1.11,before
EV0000115,WO000018,SO00179,SKU0005,F2,F2-L3,CUT,Cutting,2025-01-06 08:23:13.571190,2025-01-06 10:42:12.555130,38,0,0,start_of_day,12.04,2.08,2.32,before
EV0000116,WO000018,SO00179,SKU0005,F2,F2-L3,SEW,Sewing,2025-01-06 13:08:46.892369,2025-01-07 05:43:52.771319,38,0,0,minor,5.22,26.54,16.58,before
EV0000117,WO000018,SO00179,SKU0005,F2,F2-L3,QC_INLINE,Quality,2025-01-07 06:23:39.396223,2025-01-07 06:55:46.233623,38,1,1,minor,2.0,0.48,0.21,before
EV0000118,WO000018,SO00179,SKU0005,F2,F2-L3,REWORK,Rework,2025-01-07 07:32:55.278963,2025-01-07 07:34:23.094092,1,0,0,none,0.0,0.03,0.0,before
EV0000119,WO000018,SO00179,SKU0005,F2,F2-L3,FINISH,Finishing,2025-01-07 07:50:51.040180,2025-01-07 10:52:03.921590,38,1,0,minor,2.13,3.62,1.21,before
EV0000120,WO000018,SO00179,SKU0005,F2,F2-L1,QC_FINAL,Quality,2025-01-07 11:09:43.112024,2025-01-07 11:45:00.704512,38,3,2,minor,1.27,0.53,0.24,before
EV0000121,WO000018,SO00179,SKU0005,F2,F2-L1,REWORK,Rework,2025-01-07 12:06:14.526103,2025-01-07 12:09:26.327727,2,0,0,none,0.0,0.06,0.01,before
EV0000122,WO000018,SO00179,SKU0005,F2,F2-L1,PACK,Packing,2025-01-07 12:19:25.309361,2025-01-07 13:18:50.680135,38,0,0,minor,1.37,0.89,0.4,before
EV0000123,WO000019,SO00371,SKU0019,F2,F2-L3,CUT,Cutting,2025-01-10 09:19:56.980934,2025-01-10 13:24:36.461156,64,0,0,start_of_day,7.24,3.67,4.08,before
EV0000124,WO000019,SO00371,SKU0019,F2,F2-L2,SEW,Sewing,2025-01-10 13:55:10.017176,2025-01-11 11:22:31.000991,64,3,0,minor,7.63,34.33,21.46,before
EV0000125,WO000019,SO00371,SKU0019,F2,F2-L3,QC_INLINE,Quality,2025-01-11 13:26:42.392296,2025-01-11 14:20:19.134515,64,1,1,minor,1.16,0.8,0.36,before
EV0000126,WO000019,SO00371,SKU0019,F2,F2-L2,FINISH,Finishing,2025-01-11 14:31:28.753798,2025-01-11 19:31:39.126415,64,0,0,minor,2.54,6.0,2.0,before
EV0000127,WO000019,SO00371,SKU0019,F2,F2-L1,QC_FINAL,Quality,2025-01-11 19:40:16.371425,2025-01-11 20:56:28.403086,64,2,1,minor,1.88,1.14,0.51,before
EV0000128,WO000019,SO00371,SKU0019,F2,F2-L1,REWORK,Rework,2025-01-11 21:40:57.936297,2025-01-11 21:41:52.927033,1,0,0,none,0.0,0.02,0.0,before
EV0000129,WO000019,SO00371,SKU0019,F2,F2-L2,PACK,Packing,2025-01-11 21:50:31.907335,2025-01-11 23:36:52.030655,64,1,0,minor,0.83,1.6,0.71,before
EV0000130,WO000020,SO00575,SKU0009,F1,F1-L2,CUT,Cutting,2025-01-08 10:48:59.293084,2025-01-08 15:12:43.788028,82,3,0,start_of_day,10.6,3.96,4.4,before
EV0000131,WO000020,SO00575,SKU0009,F1,F1-L1,SEW,Sewing,2025-01-08 15:33:26.567875,2025-01-09 15:23:47.269018,82,1,0,minor,14.65,38.14,23.84,before
EV0000132,WO000020,SO00575,SKU0009,F1,F1-L3,QC_INLINE,Quality,2025-01-09 15:35:21.347260,2025-01-09 16:15:12.185391,82,0,0,minor,1.22,0.6,0.27,before
EV0000133,WO000020,SO00575,SKU0009,F1,F1-L1,FINISH,Finishing,2025-01-09 16:37:48.925167,2025-01-09 21:00:04.352560,82,0,0,minor,1.42,5.25,1.75,before
EV0000134,WO000020,SO00575,SKU0009,F1,F1-L1,QC_FINAL,Quality,2025-01-09 21:13:20.037283,2025-01-09 22:14:51.270351,82,3,2,minor,1.61,0.92,0.41,before
EV0000135,WO000020,SO00575,SKU0009,F1,F1-L1,PACK,Packing,2025-01-09 22:21:29.050420,2025-01-10 00:29:03.021932,82,1,0,minor,3.39,1.91,0.85,before
EV0000136,WO000021,SO00681,SKU0012,F2,F2-L2,CUT,Cutting,2025-01-07 09:29:29.877257,2025-01-07 18:53:19.237954,151,3,0,start_of_day,23.42,8.46,9.4,before
EV0000137,WO000021,SO00681,SKU0012,F2,F2-L2,SEW,Sewing,2025-01-07 19:35:45.865245,2025-01-09 19:50:52.522546,151,2,0,minor,9.78,77.2,48.25,before
EV0000138,WO000021,SO00681,SKU0012,F2,F2-L1,QC_INLINE,Quality,2025-01-09 20:22:26.519094,2025-01-09 21:48:24.990322,151,8,4,minor,1.65,1.29,0.57,before
EV0000139,WO000021,SO00681,SKU0012,F2,F2-L1,REWORK,Rework,2025-01-09 22:13:17.542046,2025-01-09 22:23:00.026481,4,0,0,none,0.0,0.18,0.03,before
EV0000140,WO000021,SO00681,SKU0012,F2,F2-L1,FINISH,Finishing,2025-01-09 22:34:50.628197,2025-01-10 09:51:01.667422,151,4,0,minor,2.07,13.52,4.51,before
EV0000141,WO000021,SO00681,SKU0012,F2,F2-L2,QC_FINAL,Quality,2025-01-10 09:57:19.327833,2025-01-10 11:50:56.059469,151,6,3,minor,3.03,1.7,0.76,before
EV0000142,WO000021,SO00681,SKU0012,F2,F2-L1,PACK,Packing,2025-01-10 12:11:08.119150,2025-01-10 16:35:41.355301,151,1,0,minor,2.66,3.97,1.76,before
EV0000143,WO000022,SO00071,SKU0009,F1,F1-L1,CUT,Cutting,2025-01-12 09:38:26.093809,2025-01-12 17:46:02.046243,167,7,0,start_of_day,18.1,7.31,8.13,before
