w,s,l,pos,week,sku_id,production_line_id,planned_qty
5,28,4,886,2025-02-03,SKU0028,F2-L1,24
6,1,1,901,2025-02-10,SKU0001,F1-L1,43
6,1,2,902,2025-02-10,SKU0001,F1-L2,7
6,4,1,919,2025-02-10,SKU0004,F1-L1,255
6,6,4,934,2025-02-10,SKU0006,F2-L1,54
6,8,4,946,2025-02-10,SKU0008,F2-L1,93
6,11,1,961,2025-02-10,SKU0011,F1-L1,100
6,13,1,973,2025-02-10,SKU0013,F1-L1,542
6,16,4,994,2025-02-10,SKU0016,F2-L1,87
6,18,1,1003,2025-02-10,SKU0018,F1-L1,80
6,19,4,1012,2025-02-10,SKU0019,F2-L1,77
6,20,4,1018,2025-02-10,SKU0020,F2-L1,81
6,22,1,1027,2025-02-10,SKU0022,F1-L1,116
6,27,4,1060,2025-02-10,SKU0027,F2-L1,55
6,30,1,1075,2025-02-10,SKU0030,F1-L1,67
7,3,4,1096,2025-02-17,SKU0003,F2-L1,131
7,3,5,1097,2025-02-17,SKU0003,F2-L2,220
7,4,2,1100,2025-02-17,SKU0004,F1-L2,309
7,6,4,1114,2025-02-17,SKU0006,F2-L1,48
7,7,2,1118,2025-02-17,SKU0007,F1-L2,52
7,8,4,1126,2025-02-17,SKU0008,F2-L1,173
7,9,2,1130,2025-02-17,SKU0009,F1-L2,239
7,10,2,1136,2025-02-17,SKU0010,F1-L2,106
7,12,4,1150,2025-02-17,SKU0012,F2-L1,57
7,13,1,1153,2025-02-17,SKU0013,F1-L1,365
7,13,2,1154,2025-02-17,SKU0013,F1-L2,41
7,15,1,1165,2025-02-17,SKU0015,F1-L1,278
7,17,4,1180,2025-02-17,SKU0017,F2-L1,258
7,18,1,1183,2025-02-17,SKU0018,F1-L1,116
7,19,4,1192,2025-02-17,SKU0019,F2-L1,278
7,20,4,1198,2025-02-17,SKU0020,F2-L1,36
7,22,1,1207,2025-02-17,SKU0022,F1-L1,54
7,23,1,1213,2025-02-17,SKU0023,F1-L1,179
7,25,1,1225,2025-02-17,SKU0025,F1-L1,100
7,26,4,1234,2025-02-17,SKU0026,F2-L1,41
7,27,4,1240,2025-02-17,SKU0027,F2-L1,336
7,28,4,1246,2025-02-17,SKU0028,F2-L1,209
7,29,1,1249,2025-02-17,SKU0029,F1-L1,122
7,30,1,1255,2025-02-17,SKU0030,F1-L1,55
8,1,2,1262,2025-02-24,SKU0001,F1-L2,63
8,4,2,1280,2025-02-24,SKU0004,F1-L2,46
8,5,4,1288,2025-02-24,SKU0005,F2-L1,93
8,6,4,1294,2025-02-24,SKU0006,F2-L1,136
8,7,2,1298,2025-02-24,SKU0007,F1-L2,84
8,8,4,1306,2025-02-24,SKU0008,F2-L1,33
8,9,2,1310,2025-02-24,SKU0009,F1-L2,431
8,10,2,1316,2025-02-24,SKU0010,F1-L2,247
8,11,2,1322,2025-02-24,SKU0011,F1-L2,90
8,13,2,1334,2025-02-24,SKU0013,F1-L2,203
8,14,2,1340,2025-02-24,SKU0014,F1-L2,119
8,15,2,1346,2025-02-24,SKU0015,F1-L2,149
8,16,4,1354,2025-02-24,SKU0016,F2-L1,264
8,17,4,1360,2025-02-24,SKU0017,F2-L1,58
8,18,1,1363,2025-02-24,SKU0018,F1-L1,49
8,18,2,1364,2025-02-24,SKU0018,F1-L2,195
8,19,4,1372,2025-02-24,SKU0019,F2-L1,72
8,24,1,1399,2025-02-24,SKU0024,F1-L1,54
8,25,1,1405,2025-02-24,SKU0025,F1-L1,799
8,28,4,1426,2025-02-24,SKU0028,F2-L1,233
8,30,1,1435,2025-02-24,SKU0030,F1-L1,45
9,2,2,1448,2025-03-03,SKU0002,F1-L2,364
9,5,4,1468,2025-03-03,SKU0005,F2-L1,297
9,8,4,1486,2025-03-03,SKU0008,F2-L1,68
9,9,2,1490,2025-03-03,SKU0009,F1-L2,557
9,11,2,1502,2025-03-03,SKU0011,F1-L2,50
9,12,4,1510,2025-03-03,SKU0012,F2-L1,210
9,13,1,1513,2025-03-03,SKU0013,F1-L1,91
9,13,2,1514,2025-03-03,SKU0013,F1-L2,119
9,14,1,1519,2025-03-03,SKU0014,F1-L1,121
9,18,1,1543,2025-03-03,SKU0018,F1-L1,45
9,19,4,1552,2025-03-03,SKU0019,F2-L1,275
9,22,1,1567,2025-03-03,SKU0022,F1-L1,283
9,23,1,1573,2025-03-03,SKU0023,F1-L1,307
9,26,4,1594,2025-03-03,SKU0026,F2-L1,53
9,30,1,1615,2025-03-03,SKU0030,F1-L1,256
10,2,2,1628,2025-03-10,SKU0002,F1-L2,123
10,4,2,1640,2025-03-10,SKU0004,F1-L2,94
10,6,4,1654,2025-03-10,SKU0006,F2-L1,173
10,8,4,1666,2025-03-10,SKU0008,F2-L1,156
10,9,2,1670,2025-03-10,SKU0009,F1-L2,121
10,13,1,1693,2025-03-10,SKU0013,F1-L1,20
10,13,2,1694,2025-03-10,SKU0013,F1-L2,68
10,14,1,1699,2025-03-10,SKU0014,F1-L1,69
10,15,1,1705,2025-03-10,SKU0015,F1-L1,397
10,19,4,1732,2025-03-10,SKU0019,F2-L1,87
10,20,4,1738,2025-03-10,SKU0020,F2-L1,157
10,22,1,1747,2025-03-10,SKU0022,F1-L1,68
10,23,1,1753,2025-03-10,SKU0023,F1-L1,313
10,25,1,1765,2025-03-10,SKU0025,F1-L1,118
10,30,1,1795,2025-03-10,SKU0030,F1-L1,127
11,5,4,1828,2025-03-17,SKU0005,F2-L1,36
11,7,2,1838,2025-03-17,SKU0007,F1-L2,58
11,8,4,1846,2025-03-17,SKU0008,F2-L1,147
11,9,2,1850,2025-03-17,SKU0009,F1-L2,91
11,11,2,1862,2025-03-17,SKU0011,F1-L2,207
11,13,2,1874,2025-03-17,SKU0013,F1-L2,346
11,14,2,1880,2025-03-17,SKU0014,F1-L2,256
11,15,2,1886,2025-03-17,SKU0015,F1-L2,361
11,18,1,1903,2025-03-17,SKU0018,F1-L1,62
11,18,2,1904,2025-03-17,SKU0018,F1-L2,74
11,19,4,1912,2025-03-17,SKU0019,F2-L1,48
11,20,4,1918,2025-03-17,SKU0020,F2-L1,91
11,24,1,1939,2025-03-17,SKU0024,F1-L1,145
11,25,1,1945,2025-03-17,SKU0025,F1-L1,189
11,26,4,1954,2025-03-17,SKU0026,F2-L1,264
11,27,4,1960,2025-03-17,SKU0027,F2-L1,162
11,28,4,1966,2025-03-17,SKU0028,F2-L1,203
11,30,1,1975,2025-03-17,SKU0030,F1-L1,630
12,3,4,1996,2025-03-24,SKU0003,F2-L1,56
12,4,1,1999,2025-03-24,SKU0004,F1-L1,168
12,7,1,2017,2025-03-24,SKU0007,F1-L1,173
12,8,4,2026,2025-03-24,SKU0008,F2-L1,74
12,9,1,2029,2025-03-24,SKU0009,F1-L1,77
12,11,1,2041,2025-03-24,SKU0011,F1-L1,195
12,12,4,2050,2025-03-24,SKU0012,F2-L1,53
12,13,1,2053,2025-03-24,SKU0013,F1-L1,37
12,16,4,2074,2025-03-24,SKU0016,F2-L1,389
12,20,4,2098,2025-03-24,SKU0020,F2-L1,143
12,22,1,2107,2025-03-24,SKU0022,F1-L1,21
12,24,1,2119,2025-03-24,SKU0024,F1-L1,125
12,27,4,2140,2025-03-24,SKU0027,F2-L1,149
12,28,4,2146,2025-03-24,SKU0028,F2-L1,117
12,29,1,2149,2025-03-24,SKU0029,F1-L1,504
12,30,1,2155,2025-03-24,SKU0030,F1-L1,103
13,1,2,2162,2025-03-31,SKU0001,F1-L2,152
13,2,2,2168,2025-03-31,SKU0002,F1-L2,695
13,3,4,2176,2025-03-31,SKU0003,F2-L1,53
13,5,4,2188,2025-03-31,SKU0005,F2-L1,185
13,6,4,2194,2025-03-31,SKU0006,F2-L1,53
13,7,1,2197,2025-03-31,SKU0007,F1-L1,18
13,7,2,2198,2025-03-31,SKU0007,F1-L2,94
13,9,1,2209,2025-03-31,SKU0009,F1-L1,287
13,13,1,2233,2025-03-31,SKU0013,F1-L1,408
13,18,1,2263,2025-03-31,SKU0018,F1-L1,603
13,20,4,2278,2025-03-31,SKU0020,F2-L1,97
13,22,1,2287,2025-03-31,SKU0022,F1-L1,25
13,23,1,2293,2025-03-31,SKU0023,F1-L1,240
13,26,4,2314,2025-03-31,SKU0026,F2-L1,100
13,27,4,2320,2025-03-31,SKU0027,F2-L1,419
14,3,4,2356,2025-04-07,SKU0003,F2-L1,294
14,7,2,2378,2025-04-07,SKU0007,F1-L2,163
14,9,2,2390,2025-04-07,SKU0009,F1-L2,79
14,10,2,2396,2025-04-07,SKU0010,F1-L2,171
14,11,1,2401,2025-04-07,SKU0011,F1-L1,335
14,11,2,2402,2025-04-07,SKU0011,F1-L2,479
14,14,1,2419,2025-04-07,SKU0014,F1-L1,68
14,15,1,2425,2025-04-07,SKU0015,F1-L1,137
14,16,4,2434,2025-04-07,SKU0016,F2-L1,327
14,18,1,2443,2025-04-07,SKU0018,F1-L1,52
14,19,4,2452,2025-04-07,SKU0019,F2-L1,150
14,20,4,2458,2025-04-07,SKU0020,F2-L1,82
14,23,1,2473,2025-04-07,SKU0023,F1-L1,113
14,25,1,2485,2025-04-07,SKU0025,F1-L1,262
14,26,4,2494,2025-04-07,SKU0026,F2-L1,290
14,30,1,2515,2025-04-07,SKU0030,F1-L1,70
15,4,2,2540,2025-04-14,SKU0004,F1-L2,501
15,5,4,2548,2025-04-14,SKU0005,F2-L1,105
15,6,4,2554,2025-04-14,SKU0006,F2-L1,100
15,7,2,2558,2025-04-14,SKU0007,F1-L2,147
15,10,2,2576,2025-04-14,SKU0010,F1-L2,171
15,11,2,2582,2025-04-14,SKU0011,F1-L2,161
15,13,2,2594,2025-04-14,SKU0013,F1-L2,61
15,14,2,2600,2025-04-14,SKU0014,F1-L2,92
15,16,4,2614,2025-04-14,SKU0016,F2-L1,91
15,18,2,2624,2025-04-14,SKU0018,F1-L2,318
15,19,4,2632,2025-04-14,SKU0019,F2-L1,219
15,20,4,2638,2025-04-14,SKU0020,F2-L1,26
15,21,4,2644,2025-04-14,SKU0021,F2-L1,99
15,22,1,2647,2025-04-14,SKU0022,F1-L1,480
15,22,2,2648,2025-04-14,SKU0022,F1-L2,86
15,23,1,2653,2025-04-14,SKU0023,F1-L1,64
15,25,1,2665,2025-04-14,SKU0025,F1-L1,159
15,27,4,2680,2025-04-14,SKU0027,F2-L1,103
15,29,1,2689,2025-04-14,SKU0029,F1-L1,458
15,30,1,2695,2025-04-14,SKU0030,F1-L1,81
16,1,3,2703,2025-04-21,SKU0001,F1-L3,213
16,3,4,2716,2025-04-21,SKU0003,F2-L1,114
16,4,2,2720,2025-04-21,SKU0004,F1-L2,377
16,4,3,2721,2025-04-21,SKU0004,F1-L3,11
16,5,4,2728,2025-04-21,SKU0005,F2-L1,103
16,8,4,2746,2025-04-21,SKU0008,F2-L1,154
16,10,2,2756,2025-04-21,SKU0010,F1-L2,133
16,13,2,2774,2025-04-21,SKU0013,F1-L2,921
16,14,1,2779,2025-04-21,SKU0014,F1-L1,88
16,14,2,2780,2025-04-21,SKU0014,F1-L2,334
16,18,1,2803,2025-04-21,SKU0018,F1-L1,263
16,20,4,2818,2025-04-21,SKU0020,F2-L1,77
16,21,4,2824,2025-04-21,SKU0021,F2-L1,157
16,22,1,2827,2025-04-21,SKU0022,F1-L1,77
16,25,1,2845,2025-04-21,SKU0025,F1-L1,360
16,26,4,2854,2025-04-21,SKU0026,F2-L1,122
16,27,4,2860,2025-04-21,SKU0027,F2-L1,313
16,28,4,2866,2025-04-21,SKU0028,F2-L1,160
16,29,1,2869,2025-04-21,SKU0029,F1-L1,433
16,30,1,2875,2025-04-21,SKU0030,F1-L1,126
17,1,1,2881,2025-04-28,SKU0001,F1-L1,58
17,1,2,2882,2025-04-28,SKU0001,F1-L2,47
17,2,2,2888,2025-04-28,SKU0002,F1-L2,192
17,3,5,2897,2025-04-28,SKU0003,F2-L2,69
17,5,5,2909,2025-04-28,SKU0005,F2-L2,154
17,6,5,2915,2025-04-28,SKU0006,F2-L2,381
17,7,1,2917,2025-04-28,SKU0007,F1-L1,105
17,8,5,2927,2025-04-28,SKU0008,F2-L2,72
17,9,2,2930,2025-04-28,SKU0009,F1-L2,418
17,11,2,2942,2025-04-28,SKU0011,F1-L2,415
17,12,4,2950,2025-04-28,SKU0012,F2-L1,186
17,12,5,2951,2025-04-28,SKU0012,F2-L2,73
17,13,1,2953,2025-04-28,SKU0013,F1-L1,246
17,15,1,2965,2025-04-28,SKU0015,F1-L1,131
17,16,4,2974,2025-04-28,SKU0016,F2-L1,124
17,17,4,2980,2025-04-28,SKU0017,F2-L1,128
17,18,1,2983,2025-04-28,SKU0018,F1-L1,389
17,19,4,2992,2025-04-28,SKU0019,F2-L1,56
17,20,4,2998,2025-04-28,SKU0020,F2-L1,775
17,24,1,3019,2025-04-28,SKU0024,F1-L1,164
17,25,1,3025,2025-04-28,SKU0025,F1-L1,58
17,26,4,3034,2025-04-28,SKU0026,F2-L1,76
17,28,4,3046,2025-04-28,SKU0028,F2-L1,128
17,29,1,3049,2025-04-28,SKU0029,F1-L1,309
17,30,1,3055,2025-04-28,SKU0030,F1-L1,82
18,1,1,3061,2025-05-05,SKU0001,F1-L1,81
18,1,2,3062,2025-05-05,SKU0001,F1-L2,39
18,2,2,3068,2025-05-05,SKU0002,F1-L2,356
18,3,4,3076,2025-05-05,SKU0003,F2-L1,177
18,5,4,3088,2025-05-05,SKU0005,F2-L1,159
18,6,4,3094,2025-05-05,SKU0006,F2-L1,59
18,10,2,3116,2025-05-05,SKU0010,F1-L2,439
18,11,1,3121,2025-05-05,SKU0011,F1-L1,336
18,12,4,3130,2025-05-05,SKU0012,F2-L1,611
18,20,4,3178,2025-05-05,SKU0020,F2-L1,53
18,23,1,3193,2025-05-05,SKU0023,F1-L1,227
18,24,1,3199,2025-05-05,SKU0024,F1-L1,167
18,25,1,3205,2025-05-05,SKU0025,F1-L1,241
18,26,4,3214,2025-05-05,SKU0026,F2-L1,153
18,28,4,3226,2025-05-05,SKU0028,F2-L1,49
18,30,1,3235,2025-05-05,SKU0030,F1-L1,70
19,2,1,3247,2025-05-12,SKU0002,F1-L1,46
19,4,2,3260,2025-05-12,SKU0004,F1-L2,449
19,5,4,3268,2025-05-12,SKU0005,F2-L1,45
19,7,2,3278,2025-05-12,SKU0007,F1-L2,119
19,10,2,3296,2025-05-12,SKU0010,F1-L2,331
19,11,1,3301,2025-05-12,SKU0011,F1-L1,35
19,11,2,3302,2025-05-12,SKU0011,F1-L2,534
19,12,4,3310,2025-05-12,SKU0012,F2-L1,63
19,13,1,3313,2025-05-12,SKU0013,F1-L1,296
19,15,1,3325,2025-05-12,SKU0015,F1-L1,141
19,16,4,3334,2025-05-12,SKU0016,F2-L1,100
19,18,1,3343,2025-05-12,SKU0018,F1-L1,319
19,20,4,3358,2025-05-12,SKU0020,F2-L1,112
19,21,4,3364,2025-05-12,SKU0021,F2-L1,288
19,22,1,3367,2025-05-12,SKU0022,F1-L1,123
19,24,1,3379,2025-05-12,SKU0024,F1-L1,212
19,25,1,3385,2025-05-12,SKU0025,F1-L1,164
19,27,4,3400,2025-05-12,SKU0027,F2-L1,116
19,28,4,3406,2025-05-12,SKU0028,F2-L1,161
19,29,1,3409,2025-05-12,SKU0029,F1-L1,65
20,1,2,3422,2025-05-19,SKU0001,F1-L2,49
20,3,4,3436,2025-05-19,SKU0003,F2-L1,116
20,3,5,3437,2025-05-19,SKU0003,F2-L2,13
20,5,4,3448,2025-05-19,SKU0005,F2-L1,122
20,6,4,3454,2025-05-19,SKU0006,F2-L1,91
20,14,2,3500,2025-05-19,SKU0014,F1-L2,303
20,15,2,3506,2025-05-19,SKU0015,F1-L2,145
20,16,4,3514,2025-05-19,SKU0016,F2-L1,338
20,17,4,3520,2025-05-19,SKU0017,F2-L1,226
20,18,2,3524,2025-05-19,SKU0018,F1-L2,171
20,20,4,3538,2025-05-19,SKU0020,F2-L1,182
20,22,1,3547,2025-05-19,SKU0022,F1-L1,47
20,22,2,3548,2025-05-19,SKU0022,F1-L2,95
20,23,1,3553,2025-05-19,SKU0023,F1-L1,90
20,24,1,3559,2025-05-19,SKU0024,F1-L1,42
20,25,1,3565,2025-05-19,SKU0025,F1-L1,495
20,27,4,3580,2025-05-19,SKU0027,F2-L1,69
20,28,4,3586,2025-05-19,SKU0028,F2-L1,306
20,29,1,3589,2025-05-19,SKU0029,F1-L1,122
20,30,1,3595,2025-05-19,SKU0030,F1-L1,238
21,1,2,3602,2025-05-26,SKU0001,F1-L2,168
21,2,2,3608,2025-05-26,SKU0002,F1-L2,350
21,3,4,3616,2025-05-26,SKU0003,F2-L1,174
21,4,2,3620,2025-05-26,SKU0004,F1-L2,138
21,5,4,3628,2025-05-26,SKU0005,F2-L1,147
21,6,4,3634,2025-05-26,SKU0006,F2-L1,88
21,9,1,3649,2025-05-26,SKU0009,F1-L1,38
21,10,2,3656,2025-05-26,SKU0010,F1-L2,509
21,11,1,3661,2025-05-26,SKU0011,F1-L1,84
21,11,2,3662,2025-05-26,SKU0011,F1-L2,168
21,13,1,3673,2025-05-26,SKU0013,F1-L1,143
21,16,4,3694,2025-05-26,SKU0016,F2-L1,186
21,18,1,3703,2025-05-26,SKU0018,F1-L1,469
21,19,4,3712,2025-05-26,SKU0019,F2-L1,141
21,21,4,3724,2025-05-26,SKU0021,F2-L1,135
21,22,1,3727,2025-05-26,SKU0022,F1-L1,70
21,24,1,3739,2025-05-26,SKU0024,F1-L1,149
21,25,1,3745,2025-05-26,SKU0025,F1-L1,381
21,27,4,3760,2025-05-26,SKU0027,F2-L1,202
21,28,4,3766,2025-05-26,SKU0028,F2-L1,302
22,1,2,3782,2025-06-02,SKU0001,F1-L2,145
22,3,4,3796,2025-06-02,SKU0003,F2-L1,129
22,6,4,3814,2025-06-02,SKU0006,F2-L1,47
22,7,2,3818,2025-06-02,SKU0007,F1-L2,122
22,8,4,3826,2025-06-02,SKU0008,F2-L1,37
22,9,1,3829,2025-06-02,SKU0009,F1-L1,264
22,9,2,3830,2025-06-02,SKU0009,F1-L2,967
22,12,4,3850,2025-06-02,SKU0012,F2-L1,118
22,13,1,3853,2025-06-02,SKU0013,F1-L1,140
22,14,1,3859,2025-06-02,SKU0014,F1-L1,236
22,15,1,3865,2025-06-02,SKU0015,F1-L1,97
22,17,4,3880,2025-06-02,SKU0017,F2-L1,81
22,18,1,3883,2025-06-02,SKU0018,F1-L1,191
22,20,4,3898,2025-06-02,SKU0020,F2-L1,97
22,23,1,3913,2025-06-02,SKU0023,F1-L1,448
22,26,4,3934,2025-06-02,SKU0026,F2-L1,84
22,27,4,3940,2025-06-02,SKU0027,F2-L1,197
22,28,4,3946,2025-06-02,SKU0028,F2-L1,213
23,1,2,3962,2025-06-09,SKU0001,F1-L2,66
23,2,2,3968,2025-06-09,SKU0002,F1-L2,177
23,4,2,3980,2025-06-09,SKU0004,F1-L2,600
23,7,2,3998,2025-06-09,SKU0007,F1-L2,41
23,9,2,4010,2025-06-09,SKU0009,F1-L2,221
23,10,2,4016,2025-06-09,SKU0010,F1-L2,93
23,11,1,4021,2025-06-09,SKU0011,F1-L1,94
23,11,2,4022,2025-06-09,SKU0011,F1-L2,153
23,14,1,4039,2025-06-09,SKU0014,F1-L1,66
23,15,1,4045,2025-06-09,SKU0015,F1-L1,188
23,16,4,4054,2025-06-09,SKU0016,F2-L1,91
23,18,1,4063,2025-06-09,SKU0018,F1-L1,59
23,19,4,4072,2025-06-09,SKU0019,F2-L1,364
23,21,4,4084,2025-06-09,SKU0021,F2-L1,199
23,22,1,4087,2025-06-09,SKU0022,F1-L1,65
23,25,1,4105,2025-06-09,SKU0025,F1-L1,396
23,26,4,4114,2025-06-09,SKU0026,F2-L1,70
23,28,4,4126,2025-06-09,SKU0028,F2-L1,95
23,29,1,4129,2025-06-09,SKU0029,F1-L1,218
23,30,1,4135,2025-06-09,SKU0030,F1-L1,36
24,1,2,4142,2025-06-16,SKU0001,F1-L2,55
24,2,2,4148,2025-06-16,SKU0002,F1-L2,177
24,4,2,4160,2025-06-16,SKU0004,F1-L2,71
24,7,1,4177,2025-06-16,SKU0007,F1-L1,109
24,7,2,4178,2025-06-16,SKU0007,F1-L2,28
24,10,1,4195,2025-06-16,SKU0010,F1-L1,263
24,13,1,4213,2025-06-16,SKU0013,F1-L1,173
24,14,1,4219,2025-06-16,SKU0014,F1-L1,92
24,16,4,4234,2025-06-16,SKU0016,F2-L1,301
24,19,4,4252,2025-06-16,SKU0019,F2-L1,83
24,21,4,4264,2025-06-16,SKU0021,F2-L1,232
24,23,1,4273,2025-06-16,SKU0023,F1-L1,108
24,27,4,4300,2025-06-16,SKU0027,F2-L1,132
24,30,1,4315,2025-06-16,SKU0030,F1-L1,246
25,4,2,4340,2025-06-23,SKU0004,F1-L2,200
25,6,5,4355,2025-06-23,SKU0006,F2-L2,194
25,7,2,4358,2025-06-23,SKU0007,F1-L2,163
25,8,4,4366,2025-06-23,SKU0008,F2-L1,56
25,8,5,4367,2025-06-23,SKU0008,F2-L2,52
25,9,1,4369,2025-06-23,SKU0009,F1-L1,53
25,9,2,4370,2025-06-23,SKU0009,F1-L2,69
25,10,1,4375,2025-06-23,SKU0010,F1-L1,206
25,12,4,4390,2025-06-23,SKU0012,F2-L1,100
25,13,1,4393,2025-06-23,SKU0013,F1-L1,189
25,14,1,4399,2025-06-23,SKU0014,F1-L1,122
25,16,4,4414,2025-06-23,SKU0016,F2-L1,402
25,19,4,4432,2025-06-23,SKU0019,F2-L1,194
25,21,4,4444,2025-06-23,SKU0021,F2-L1,80
25,24,1,4459,2025-06-23,SKU0024,F1-L1,165
25,25,1,4465,2025-06-23,SKU0025,F1-L1,196
25,26,4,4474,2025-06-23,SKU0026,F2-L1,457
25,27,4,4480,2025-06-23,SKU0027,F2-L1,139
25,30,1,4495,2025-06-23,SKU0030,F1-L1,133
26,1,2,4502,2025-06-30,SKU0001,F1-L2,46
26,2,2,4508,2025-06-30,SKU0002,F1-L2,78
26,4,2,4520,2025-06-30,SKU0004,F1-L2,66
26,6,4,4534,2025-06-30,SKU0006,F2-L1,179
26,7,1,4537,2025-06-30,SKU0007,F1-L1,273
26,7,2,4538,2025-06-30,SKU0007,F1-L2,22
26,10,1,4555,2025-06-30,SKU0010,F1-L1,234
26,12,4,4570,2025-06-30,SKU0012,F2-L1,208
26,16,4,4594,2025-06-30,SKU0016,F2-L1,94
26,19,4,4612,2025-06-30,SKU0019,F2-L1,167
26,20,4,4618,2025-06-30,SKU0020,F2-L1,137
26,21,4,4624,2025-06-30,SKU0021,F2-L1,422
26,22,1,4627,2025-06-30,SKU0022,F1-L1,106
26,23,1,4633,2025-06-30,SKU0023,F1-L1,338
26,27,4,4660,2025-06-30,SKU0027,F2-L1,71
26,28,4,4666,2025-06-30,SKU0028,F2-L1,41
26,30,1,4675,2025-06-30,SKU0030,F1-L1,110
27,1,2,4682,2025-07-07,SKU0001,F1-L2,108
27,2,2,4688,2025-07-07,SKU0002,F1-L2,356
27,3,4,4696,2025-07-07,SKU0003,F2-L1,42
27,4,2,4700,2025-07-07,SKU0004,F1-L2,230
27,9,2,4730,2025-07-07,SKU0009,F1-L2,409
27,13,2,4754,2025-07-07,SKU0013,F1-L2,248
27,14,2,4760,2025-07-07,SKU0014,F1-L2,59
27,15,1,4765,2025-07-07,SKU0015,F1-L1,169
27,15,2,4766,2025-07-07,SKU0015,F1-L2,263
27,18,1,4783,2025-07-07,SKU0018,F1-L1,305
27,20,4,4798,2025-07-07,SKU0020,F2-L1,162
27,21,4,4804,2025-07-07,SKU0021,F2-L1,276
27,22,1,4807,2025-07-07,SKU0022,F1-L1,319
27,23,1,4813,2025-07-07,SKU0023,F1-L1,109
27,24,1,4819,2025-07-07,SKU0024,F1-L1,122
27,25,1,4825,2025-07-07,SKU0025,F1-L1,222
27,26,4,4834,2025-07-07,SKU0026,F2-L1,132
27,27,4,4840,2025-07-07,SKU0027,F2-L1,406
27,28,4,4846,2025-07-07,SKU0028,F2-L1,74
28,1,2,4862,2025-07-14,SKU0001,F1-L2,62
28,2,1,4867,2025-07-14,SKU0002,F1-L1,170
28,2,2,4868,2025-07-14,SKU0002,F1-L2,305
28,6,4,4894,2025-07-14,SKU0006,F2-L1,21
28,7,1,4897,2025-07-14,SKU0007,F1-L1,69
28,9,1,4909,2025-07-14,SKU0009,F1-L1,152
28,10,1,4915,2025-07-14,SKU0010,F1-L1,344
28,16,4,4954,2025-07-14,SKU0016,F2-L1,147
28,17,4,4960,2025-07-14,SKU0017,F2-L1,52
28,20,4,4978,2025-07-14,SKU0020,F2-L1,170
28,22,1,4987,2025-07-14,SKU0022,F1-L1,113
28,24,1,4999,2025-07-14,SKU0024,F1-L1,64
