order_id,customer_id,sku_id,order_date,due_date,demand_qty,priority,penalty_cost_late,scenario
SO00155,CUST0026,SKU0024,2025-06-28,2025-07-23,64,Std,7.67,after
SO00156,CUST0026,SKU0026,2025-05-12,2025-05-23,161,Std,5.85,after
SO00157,CUST0033,SKU0020,2025-06-09,2025-07-02,123,Expedite,16.51,after
SO00158,CUST0025,SKU0001,2025-04-06,2025-05-02,104,Std,15.58,after
SO00159,CUST0036,SKU0016,2025-06-09,2025-07-01,82,Std,14.36,after
SO00160,CUST0003,SKU0006,2025-02-13,2025-03-14,132,Std,14.09,after
SO00161,CUST0009,SKU0014,2025-03-20,2025-03-28,107,Std,11.27,after
SO00162,CUST0020,SKU0021,2025-06-08,2025-06-23,30,Std,12.91,after
SO00163,CUST0012,SKU0012,2025-02-20,2025-03-11,56,Std,22.17,after
SO00164,CUST0030,SKU0005,2025-01-14,2025-01-29,94,Std,21.14,after
SO00165,CUST0026,SKU0010,2025-04-15,2025-04-22,163,Launch,12.92,after
SO00166,CUST0026,SKU0015,2025-03-22,2025-04-18,199,Launch,20.93,after
SO00167,CUST0015,SKU0025,2025-03-25,2025-04-14,276,Std,13.16,after
SO00168,CUST0037,SKU0019,2025-05-02,2025-05-18,166,Std,14.51,after
SO00169,CUST0013,SKU0015,2025-05-19,2025-06-23,483,Std,9.23,after
SO00170,CUST0038,SKU0030,2025-05-30,2025-06-28,54,Std,7.7,after
SO00171,CUST0036,SKU0027,2025-06-09,2025-06-26,47,Std,8.61,after
SO00172,CUST0025,SKU0007,2025-05-18,2025-06-13,217,Std,17.7,after
SO00173,CUST0010,SKU0020,2025-04-30,2025-05-08,123,Std,8.7,after
SO00174,CUST0036,SKU0002,2025-04-09,2025-04-24,206,Std,25.6,after
SO00175,CUST0032,SKU0020,2025-05-16,2025-05-25,117,Std,11.84,after
SO00176,CUST0038,SKU0006,2025-02-12,2025-02-28,91,Std,13.13,after
SO00177,CUST0014,SKU0016,2025-06-20,2025-07-05,29,Expedite,10.62,after
SO00178,CUST0003,SKU0018,2025-04-04,2025-04-24,122,Std,9.92,after
SO00179,CUST0024,SKU0024,2025-02-03,2025-02-20,112,Std,13.23,after
SO00180,CUST0020,SKU0016,2025-03-29,2025-04-10,73,Std,17.48,after
SO00181,CUST0038,SKU0020,2025-04-06,2025-04-26,60,Std,13.4,after
SO00182,CUST0007,SKU0017,2025-04-16,2025-05-01,115,Std,16.45,after
SO00183,CUST0023,SKU0029,2025-03-31,2025-04-13,142,Std,16.99,after
SO00184,CUST0020,SKU0009,2025-03-21,2025-04-16,185,Std,19.39,after
SO00185,CUST0035,SKU0030,2025-06-12,2025-06-19,102,Std,10.46,after
SO00186,CUST0003,SKU0027,2025-01-18,2025-02-03,92,Std,17.15,after
SO00187,CUST0035,SKU0003,2025-03-10,2025-03-26,79,Std,11.85,after
SO00188,CUST0033,SKU0025,2025-05-17,2025-06-08,151,Std,8.82,after
SO00189,CUST0032,SKU0024,2025-04-20,2025-05-02,173,Std,9.37,after
SO00190,CUST0019,SKU0027,2025-06-06,2025-06-23,55,Std,13.98,after
SO00191,CUST0012,SKU0014,2025-06-03,2025-06-13,48,Expedite,16.64,after
SO00192,CUST0022,SKU0006,2025-01-12,2025-01-27,78,Std,25.2,after
SO00193,CUST0031,SKU0017,2025-05-05,2025-05-21,86,Expedite,11.48,after
SO00194,CUST0002,SKU0015,2025-01-12,2025-01-30,50,Expedite,6.97,after
SO00195,CUST0016,SKU0007,2025-05-25,2025-06-17,98,Std,18.46,after
SO00196,CUST0007,SKU0021,2025-01-16,2025-02-07,44,Std,18.16,after
SO00197,CUST0027,SKU0015,2025-05-01,2025-05-24,74,Std,10.0,after
SO00198,CUST0025,SKU0014,2025-01-14,2025-01-25,100,Std,8.42,after
SO00199,CUST0007,SKU0022,2025-05-02,2025-05-20,84,Std,9.92,after
SO00200,CUST0021,SKU0013,2025-06-08,2025-06-26,219,Std,7.67,after
SO00201,CUST0003,SKU0015,2025-06-28,2025-07-15,166,Std,9.27,after
SO00202,CUST0031,SKU0004,2025-04-07,2025-05-02,252,Std,16.18,after
SO00203,CUST0026,SKU0020,2025-04-19,2025-05-06,185,Std,17.43,after
SO00204,CUST0016,SKU0020,2025-05-21,2025-06-11,87,Expedite,14.61,after
SO00205,CUST0023,SKU0019,2025-02-16,2025-02-28,64,Expedite,15.37,after
SO00206,CUST0018,SKU0015,2025-03-16,2025-04-01,131,Std,17.07,after
SO00207,CUST0002,SKU0030,2025-05-31,2025-06-21,83,Std,38.57,after
SO00208,CUST0019,SKU0015,2025-05-24,2025-06-19,58,Std,19.89,after
SO00209,CUST0015,SKU0019,2025-04-29,2025-05-21,145,Expedite,11.83,after
SO00210,CUST0020,SKU0007,2025-01-10,2025-02-03,115,Expedite,19.24,after
SO00211,CUST0007,SKU0001,2025-01-15,2025-02-05,66,Std,6.42,after
SO00212,CUST0039,SKU0018,2025-03-04,2025-03-21,104,Std,12.04,after
SO00213,CUST0034,SKU0002,2025-04-11,2025-05-01,220,Std,9.71,after
SO00214,CUST0031,SKU0026,2025-02-22,2025-03-06,87,Launch,17.97,after
SO00215,CUST0030,SKU0019,2025-01-01,2025-01-13,105,Std,10.42,after
SO00216,CUST0039,SKU0006,2025-05-18,2025-05-28,111,Std,23.65,after
SO00217,CUST0031,SKU0025,2025-06-17,2025-07-10,99,Std,28.98,after
SO00218,CUST0013,SKU0022,2025-01-01,2025-01-20,62,Std,20.72,after
SO00219,CUST0004,SKU0014,2025-04-01,2025-04-17,169,Std,21.82,after
SO00220,CUST0024,SKU0028,2025-03-02,2025-03-11,138,Std,16.76,after
SO00221,CUST0012,SKU0024,2025-05-03,2025-05-30,173,Launch,10.2,after
SO00222,CUST0025,SKU0028,2025-02-01,2025-02-22,54,Std,15.22,after
SO00223,CUST0033,SKU0027,2025-01-12,2025-01-25,47,Std,19.81,after
SO00224,CUST0004,SKU0019,2025-04-19,2025-05-08,145,Std,17.64,after
SO00225,CUST0029,SKU0012,2025-02-05,2025-03-06,142,Std,14.32,after
SO00226,CUST0013,SKU0012,2025-04-12,2025-04-28,108,Std,7.7,after
SO00227,CUST0037,SKU0009,2025-05-05,2025-05-18,111,Launch,10.3,after
SO00228,CUST0014,SKU0018,2025-02-08,2025-02-24,51,Std,13.8,after
SO00229,CUST0026,SKU0025,2025-06-07,2025-07-01,66,Expedite,13.66,after
SO00230,CUST0004,SKU0014,2025-04-30,2025-05-19,155,Std,12.94,after
SO00231,CUST0019,SKU0025,2025-05-06,2025-05-20,187,Std,6.13,after
SO00232,CUST0013,SKU0027,2025-01-09,2025-02-03,20,Expedite,20.03,after
SO00233,CUST0004,SKU0010,2025-01-15,2025-01-28,197,Std,9.52,after
SO00234,CUST0030,SKU0021,2025-04-05,2025-04-18,57,Std,6.56,after
SO00235,CUST0021,SKU0005,2025-06-26,2025-07-10,100,Std,7.35,after
SO00236,CUST0035,SKU0005,2025-04-12,2025-05-04,143,Std,19.98,after
SO00237,CUST0035,SKU0025,2025-03-14,2025-04-04,258,Std,14.73,after
SO00238,CUST0014,SKU0025,2025-06-23,2025-06-30,73,Std,15.37,after
SO00239,CUST0010,SKU0022,2025-04-27,2025-05-16,97,Std,15.78,after
SO00240,CUST0030,SKU0007,2025-02-18,2025-03-05,71,Std,12.46,after
SO00241,CUST0039,SKU0013,2025-05-11,2025-05-18,162,Std,28.54,after
SO00242,CUST0006,SKU0017,2025-06-08,2025-06-28,49,Std,7.55,after
SO00243,CUST0014,SKU0004,2025-06-30,2025-07-17,75,Std,12.35,after
SO00244,CUST0008,SKU0016,2025-04-15,2025-05-08,33,Std,12.35,after
SO00245,CUST0007,SKU0014,2025-06-24,2025-07-17,119,Std,6.33,after
SO00246,CUST0024,SKU0011,2025-01-15,2025-02-08,170,Std,19.48,after
SO00247,CUST0023,SKU0015,2025-06-03,2025-06-24,65,Std,19.08,after
SO00248,CUST0016,SKU0013,2025-04-02,2025-04-23,63,Std,18.35,after
SO00249,CUST0015,SKU0003,2025-05-24,2025-06-19,126,Expedite,8.66,after
SO00250,CUST0014,SKU0025,2025-01-25,2025-02-09,177,Std,14.07,after
SO00251,CUST0003,SKU0025,2025-03-29,2025-04-14,189,Expedite,16.25,after
SO00252,CUST0033,SKU0014,2025-03-02,2025-03-17,77,Std,8.37,after
SO00253,CUST0032,SKU0019,2025-03-08,2025-03-24,95,Std,13.2,after
SO00254,CUST0013,SKU0020,2025-04-06,2025-04-28,185,Launch,12.28,after
SO00255,CUST0039,SKU0011,2025-06-12,2025-06-24,94,Expedite,10.57,after
SO00256,CUST0013,SKU0014,2025-03-01,2025-03-17,71,Std,21.46,after
SO00257,CUST0004,SKU0018,2025-06-27,2025-07-22,43,Expedite,11.25,after
SO00258,CUST0028,SKU0009,2025-04-09,2025-04-24,190,Std,11.22,after
SO00259,CUST0038,SKU0005,2025-04-02,2025-04-17,47,Launch,10.88,after
SO00260,CUST0013,SKU0006,2025-06-20,2025-07-06,47,Std,9.62,after
SO00261,CUST0006,SKU0015,2025-01-22,2025-02-08,128,Std,8.15,after
SO00262,CUST0012,SKU0021,2025-06-03,2025-06-26,88,Std,15.03,after
SO00263,CUST0037,SKU0015,2025-04-23,2025-05-19,197,Std,22.8,after
SO00264,CUST0039,SKU0016,2025-03-10,2025-03-22,79,Std,8.64,after
SO00265,CUST0006,SKU0029,2025-03-22,2025-04-08,160,Std,10.29,after
SO00266,CUST0023,SKU0010,2025-05-06,2025-05-16,124,Std,12.94,after
SO00267,CUST0009,SKU0030,2025-02-14,2025-02-28,75,Expedite,11.61,after
SO00268,CUST0010,SKU0016,2025-01-16,2025-02-01,35,Std,8.67,after
SO00269,CUST0013,SKU0017,2025-06-10,2025-06-29,101,Std,23.15,after
SO00270,CUST0036,SKU0014,2025-06-26,2025-07-16,52,Std,12.7,after
SO00271,CUST0016,SKU0008,2025-05-30,2025-06-19,28,Std,26.12,after
SO00272,CUST0024,SKU0003,2025-03-10,2025-03-23,87,Std,15.57,after
SO00273,CUST0013,SKU0015,2025-04-06,2025-04-21,114,Std,5.87,after
SO00274,CUST0014,SKU0015,2025-06-02,2025-06-09,90,Std,7.81,after
SO00275,CUST0004,SKU0001,2025-02-03,2025-02-12,81,Expedite,9.87,after
SO00276,CUST0021,SKU0004,2025-01-01,2025-01-17,53,Std,8.84,after
SO00277,CUST0011,SKU0024,2025-05-12,2025-05-30,60,Std,22.32,after
SO00278,CUST0009,SKU0019,2025-01-18,2025-02-14,136,Std,18.88,after
SO00279,CUST0038,SKU0024,2025-05-30,2025-06-16,392,Std,22.95,after
SO00280,CUST0016,SKU0013,2025-04-02,2025-04-09,132,Std,14.2,after
SO00281,CUST0020,SKU0011,2025-06-13,2025-07-06,46,Std,10.09,after
SO00282,CUST0023,SKU0018,2025-02-03,2025-02-19,284,Std,14.85,after
SO00283,CUST0030,SKU0026,2025-02-03,2025-03-05,109,Launch,26.73,after
SO00284,CUST0026,SKU0006,2025-03-09,2025-03-25,257,Std,7.16,after
SO00285,CUST0035,SKU0030,2025-02-09,2025-02-28,68,Std,15.62,after
SO00286,CUST0016,SKU0004,2025-06-28,2025-07-10,40,Expedite,26.44,after
SO00287,CUST0007,SKU0026,2025-03-02,2025-03-26,99,Std,17.11,after
SO00288,CUST0032,SKU0012,2025-06-04,2025-06-21,99,Std,14.92,after
SO00289,CUST0011,SKU0021,2025-05-31,2025-06-12,206,Std,11.52,after
SO00290,CUST0015,SKU0011,2025-03-20,2025-04-12,253,Expedite,5.24,after
SO00291,CUST0024,SKU0011,2025-02-01,2025-02-21,317,Launch,28.23,after
SO00292,CUST0027,SKU0007,2025-05-25,2025-06-08,79,Std,31.51,after
SO00293,CUST0018,SKU0018,2025-06-26,2025-07-25,54,Std,10.59,after
SO00294,CUST0024,SKU0012,2025-05-25,2025-06-12,113,Launch,21.19,after
SO00295,CUST0018,SKU0025,2025-02-21,2025-03-04,32,Std,30.2,after
SO00296,CUST0036,SKU0020,2025-03-12,2025-04-02,375,Std,20.09,after
SO00297,CUST0031,SKU0021,2025-06-17,2025-07-03,561,Launch,16.62,after
SO00298,CUST0024,SKU0022,2025-03-06,2025-04-03,49,Expedite,23.68,after
SO00299,CUST0025,SKU0029,2025-06-09,2025-06-23,103,Expedite,19.4,after
SO00300,CUST0006,SKU0010,2025-05-01,2025-05-19,174,Std,9.71,after
SO00301,CUST0006,SKU0013,2025-03-12,2025-03-24,121,Launch,19.79,after
SO00302,CUST0010,SKU0015,2025-04-30,2025-05-21,160,Std,8.04,after
SO00303,CUST0027,SKU0022,2025-02-24,2025-03-08,43,Std,14.52,after
SO00304,CUST0009,SKU0021,2025-02-12,2025-02-28,54,Std,14.44,after
SO00305,CUST0001,SKU0003,2025-01-28,2025-02-14,75,Std,18.44,after
SO00306,CUST0030,SKU0019,2025-01-16,2025-02-12,64,Std,6.87,after
SO00307,CUST0013,SKU0028,2025-04-03,2025-04-10,52,Std,17.39,after
SO00308,CUST0036,SKU0003,2025-05-02,2025-05-26,129,Std,14.36,after
SO00309,CUST0010,SKU0022,2025-03-26,2025-04-17,63,Launch,23.75,after
SO00310,CUST0036,SKU0023,2025-04-19,2025-05-09,109,Std,41.16,after
SO00311,CUST0012,SKU0027,2025-01-04,2025-01-23,99,Std,26.45,after
SO00312,CUST0022,SKU0017,2025-03-14,2025-04-01,83,Std,18.52,after
SO00313,CUST0010,SKU0001,2025-02-19,2025-03-08,92,Std,10.21,after
SO00314,CUST0025,SKU0019,2025-02-07,2025-02-18,148,Std,15.18,after
SO00315,CUST0037,SKU0012,2025-06-21,2025-07-03,38,Std,8.17,after
SO00316,CUST0027,SKU0002,2025-01-05,2025-01-19,47,Std,9.09,after
SO00317,CUST0024,SKU0026,2025-04-10,2025-04-30,61,Std,17.56,after
SO00318,CUST0017,SKU0025,2025-06-27,2025-07-11,83,Expedite,11.71,after
SO00319,CUST0017,SKU0012,2025-04-22,2025-05-02,94,Std,8.44,after
SO00320,CUST0008,SKU0021,2025-06-30,2025-07-11,83,Launch,18.26,after
SO00321,CUST0032,SKU0017,2025-05-04,2025-05-20,116,Std,10.73,after
SO00322,CUST0014,SKU0024,2025-02-18,2025-03-02,79,Std,7.34,after
SO00323,CUST0006,SKU0009,2025-01-04,2025-01-26,112,Std,7.09,after
SO00324,CUST0036,SKU0029,2025-06-11,2025-06-23,185,Launch,14.44,after
SO00325,CUST0038,SKU0001,2025-03-01,2025-03-23,90,Expedite,22.49,after
SO00326,CUST0026,SKU0006,2025-03-06,2025-04-03,87,Std,13.01,after
SO00327,CUST0017,SKU0028,2025-05-07,2025-05-23,164,Expedite,11.28,after
SO00328,CUST0022,SKU0023,2025-03-24,2025-04-11,202,Std,12.34,after
