event_id,work_order_id,sales_order_id,sku_id,factory_id,production_line_id,operation_step,area,step_start_time,step_end_time,produced_qty,rejected_qty,rework_qty,setup_type,setup_time_min,labor_hours,machine_hours,scenario,product_category,fabric_type,color,size_run,std_sam_minutes_sew,pack_units_per_carton,line_type,shift_pattern,daily_capacity_machine_hours,daily_capacity_labor_hours,customer_id,order_date,due_date,demand_qty,penalty_cost_late,priority,week
EV0000011,WO000002,SO00290,SKU0013,F1,F1-L2,QC_FINAL,Quality,2025-01-04T20:42:24Z,2025-01-04T21:37:58Z,74,3,2,minor,1.68,0.83,0.37,before,Polo,Cotton_Jersey,White,core,17.4,24,modular_line,3x8h,20.4,30,CUST0004,2025-01-01,2025-01-15,71,7.85,Expedite,2024-12-30
EV0000012,WO000002,SO00290,SKU0013,F1,F1-L3,PACK,Packing,2025-01-04T21:49:17Z,2025-01-04T23:45:40Z,74,2,0,minor,3.77,1.75,0.78,before,Polo,Cotton_Jersey,White,core,17.4,24,sewing_cell,1x10h,8.5,12.5,CUST0004,2025-01-01,2025-01-15,71,7.85,Expedite,2024-12-30
EV0000013,WO000003,SO00668,SKU0028,F2,F2-L3,CUT,Cutting,2025-01-05T08:30:22Z,2025-01-05T19:02:03Z,169,8,0,start_of_day,11.11,9.48,10.53,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,sewing_cell,1x10h,8.5,12.5,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2024-12-30
EV0000014,WO000003,SO00668,SKU0028,F2,F2-L3,SEW,Sewing,2025-01-05T19:42:43Z,2025-01-08T18:49:41Z,169,3,0,minor,8.66,113.79,71.12,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,sewing_cell,1x10h,8.5,12.5,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2025-01-06
EV0000015,WO000003,SO00668,SKU0028,F2,F2-L2,QC_INLINE,Quality,2025-01-08T19:22:20Z,2025-01-08T21:18:58Z,169,11,6,minor,2.24,1.75,0.78,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,sewing_cell,2x8h,13.6,20,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2025-01-06
EV0000016,WO000003,SO00668,SKU0028,F2,F2-L2,FINISH,Finishing,2025-01-08T21:42:58Z,2025-01-09T11:59:01Z,169,5,0,minor,0.79,17.12,5.71,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,sewing_cell,2x8h,13.6,20,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2025-01-06
EV0000017,WO000003,SO00668,SKU0028,F2,F2-L3,QC_FINAL,Quality,2025-01-09T12:14:38Z,2025-01-09T15:01:31Z,169,7,4,minor,1.19,2.5,1.11,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,sewing_cell,1x10h,8.5,12.5,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2025-01-06
EV0000018,WO000003,SO00668,SKU0028,F2,F2-L3,REWORK,Rework,2025-01-09T15:35:08Z,2025-01-09T15:41:05Z,4,0,0,none,0,0.11,0.02,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,sewing_cell,1x10h,8.5,12.5,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2025-01-06
EV0000019,WO000003,SO00668,SKU0028,F2,F2-L1,PACK,Packing,2025-01-09T15:48:24Z,2025-01-09T20:01:48Z,169,1,0,minor,1.52,3.8,1.69,before,Jacket,Nylon_Taffeta,Grey,extended,21.3,36,assembly_line,3x8h,20.4,30,CUST0033,2025-01-01,2025-01-23,160,13.91,Std,2025-01-06
EV0000020,WO000004,SO00519,SKU0023,F1,F1-L2,CUT,Cutting,2025-01-04T08:12:23Z,2025-01-04T18:35:29Z,254,8,0,start_of_day,13.34,9.35,10.39,before,Tee,Fleece,Grey,core,13.1,24,modular_line,3x8h,20.4,30,CUST0035,2025-01-02,2025-01-25,231,10.96,Std,2024-12-30
EV0000021,WO000004,SO00519,SKU0023,F1,F1-L1,SEW,Sewing,2025-01-04T18:59:20Z,2025-01-07T00:52:22Z,254,11,0,minor,12.34,86.21,53.88,before,Tee,Fleece,Grey,core,13.1,24,assembly_line,2x8h,13.6,20,CUST0035,2025-01-02,2025-01-25,231,10.96,Std,2025-01-06
EV0000022,WO000004,SO00519,SKU0023,F1,F1-L3,QC_INLINE,Quality,2025-01-07T01:36:55Z,2025-01-07T03:55:02Z,254,11,6,minor,2.47,2.07,0.92,before,Tee,Fleece,Grey,core,13.1,24,sewing_cell,1x10h,8.5,12.5,CUST0035,2025-01-02,2025-01-25,231,10.96,Std,2025-01-06
EV0000023,WO000004,SO00519,SKU0023,F1,F1-L2,FINISH,Finishing,2025-01-07T04:14:37Z,2025-01-07T15:56:49Z,254,4,0,minor,2.86,14.04,4.68,before,Tee,Fleece,Grey,core,13.1,24,modular_line,3x8h,20.4,30,CUST0035,2025-01-02,2025-01-25,231,10.96,Std,2025-01-06
EV0000024,WO000004,SO00519,SKU0023,F1,F1-L2,QC_FINAL,Quality,2025-01-07T16:09:55Z,2025-01-07T19:04:09Z,254,13,7,minor,1.91,2.61,1.16,before,Tee,Fleece,Grey,core,13.1,24,modular_line,3x8h,20.4,30,CUST0035,2025-01-02,2025-01-25,231,10.96,Std,2025-01-06
EV0000025,WO000004,SO00519,SKU0023,F1,F1-L2,PACK,Packing,2025-01-07T19:27:40Z,2025-01-08T01:06:15Z,254,1,0,minor,0.96,5.08,2.26,before,Tee,Fleece,Grey,core,13.1,24,modular_line,3x8h,20.4,30,CUST0035,2025-01-02,2025-01-25,231,10.96,Std,2025-01-06
EV0000026,WO000005,SO00289,SKU0013,F1,F1-L2,CUT,Cutting,2025-01-05T08:14:02Z,2025-01-05T12:35:25Z,85,4,0,start_of_day,16.9,3.92,4.36,before,Polo,Cotton_Jersey,White,core,17.4,24,modular_line,3x8h,20.4,30,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2024-12-30
EV0000027,WO000005,SO00289,SKU0013,F1,F1-L3,SEW,Sewing,2025-01-05T13:03:20Z,2025-01-06T09:34:17Z,85,4,0,minor,6.38,32.83,20.52,before,Polo,Cotton_Jersey,White,core,17.4,24,sewing_cell,1x10h,8.5,12.5,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2025-01-06
EV0000028,WO000005,SO00289,SKU0013,F1,F1-L1,QC_INLINE,Quality,2025-01-06T09:56:20Z,2025-01-06T10:47:17Z,85,3,2,minor,2.24,0.76,0.34,before,Polo,Cotton_Jersey,White,core,17.4,24,assembly_line,2x8h,13.6,20,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2025-01-06
EV0000029,WO000005,SO00289,SKU0013,F1,F1-L1,FINISH,Finishing,2025-01-06T10:53:31Z,2025-01-06T15:02:08Z,85,2,0,minor,1.75,4.97,1.66,before,Polo,Cotton_Jersey,White,core,17.4,24,assembly_line,2x8h,13.6,20,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2025-01-06
EV0000030,WO000005,SO00289,SKU0013,F1,F1-L1,QC_FINAL,Quality,2025-01-06T15:08:28Z,2025-01-06T16:10:08Z,85,4,2,minor,1.12,0.92,0.41,before,Polo,Cotton_Jersey,White,core,17.4,24,assembly_line,2x8h,13.6,20,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2025-01-06
EV0000031,WO000005,SO00289,SKU0013,F1,F1-L1,REWORK,Rework,2025-01-06T17:39:14Z,2025-01-06T17:44:35Z,2,0,0,none,0,0.1,0.02,before,Polo,Cotton_Jersey,White,core,17.4,24,assembly_line,2x8h,13.6,20,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2025-01-06
EV0000032,WO000005,SO00289,SKU0013,F1,F1-L3,PACK,Packing,2025-01-06T17:54:17Z,2025-01-06T20:39:20Z,85,3,0,minor,2.33,2.48,1.1,before,Polo,Cotton_Jersey,White,core,17.4,24,sewing_cell,1x10h,8.5,12.5,CUST0029,2025-01-02,2025-01-17,82,13.49,Std,2025-01-06
EV0000033,WO000006,SO00145,SKU0005,F2,F2-L1,CUT,Cutting,2025-01-08T11:15:06Z,2025-01-08T15:34:39Z,63,1,0,start_of_day,12.77,3.89,4.33,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,assembly_line,3x8h,20.4,30,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000034,WO000006,SO00145,SKU0005,F2,F2-L2,SEW,Sewing,2025-01-08T16:30:12Z,2025-01-09T20:30:43Z,63,1,0,minor,13.71,44.81,28.01,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,sewing_cell,2x8h,13.6,20,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000035,WO000006,SO00145,SKU0005,F2,F2-L2,QC_INLINE,Quality,2025-01-09T21:10:23Z,2025-01-09T21:48:21Z,63,2,1,minor,1.17,0.57,0.25,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,sewing_cell,2x8h,13.6,20,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000036,WO000006,SO00145,SKU0005,F2,F2-L2,FINISH,Finishing,2025-01-09T21:56:44Z,2025-01-10T03:32:43Z,63,3,0,minor,1.32,6.72,2.24,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,sewing_cell,2x8h,13.6,20,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000037,WO000006,SO00145,SKU0005,F2,F2-L3,QC_FINAL,Quality,2025-01-10T03:50:51Z,2025-01-10T04:35:23Z,63,2,1,minor,0.96,0.67,0.3,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,sewing_cell,1x10h,8.5,12.5,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000038,WO000006,SO00145,SKU0005,F2,F2-L3,REWORK,Rework,2025-01-10T05:06:18Z,2025-01-10T05:07:56Z,1,0,0,none,0,0.03,0.01,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,sewing_cell,1x10h,8.5,12.5,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000039,WO000006,SO00145,SKU0005,F2,F2-L1,PACK,Packing,2025-01-10T05:22:44Z,2025-01-10T07:01:00Z,63,3,0,minor,1.31,1.47,0.66,before,Legging,Nylon_Taffeta,Navy,core,25.08,12,assembly_line,3x8h,20.4,30,CUST0010,2025-01-02,2025-01-23,56,13.91,Std,2025-01-06
EV0000040,WO000007,SO00564,SKU0014,F1,F1-L2,CUT,Cutting,2025-01-06T10:03:45Z,2025-01-06T13:43:29Z,52,1,0,start_of_day,15.48,3.3,3.66,before,Dress,Cotton_Jersey,Olive,core,22.79,24,modular_line,3x8h,20.4,30,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000041,WO000007,SO00564,SKU0014,F1,F1-L1,SEW,Sewing,2025-01-06T14:26:50Z,2025-01-07T13:49:29Z,52,1,0,minor,14.31,37.4,23.38,before,Dress,Cotton_Jersey,Olive,core,22.79,24,assembly_line,2x8h,13.6,20,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000042,WO000007,SO00564,SKU0014,F1,F1-L3,QC_INLINE,Quality,2025-01-07T14:46:40Z,2025-01-07T15:24:16Z,52,6,3,minor,4.83,0.56,0.25,before,Dress,Cotton_Jersey,Olive,core,22.79,24,sewing_cell,1x10h,8.5,12.5,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000043,WO000007,SO00564,SKU0014,F1,F1-L3,REWORK,Rework,2025-01-07T15:53:12Z,2025-01-07T15:59:07Z,3,0,0,none,0,0.11,0.02,before,Dress,Cotton_Jersey,Olive,core,22.79,24,sewing_cell,1x10h,8.5,12.5,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000044,WO000007,SO00564,SKU0014,F1,F1-L1,FINISH,Finishing,2025-01-07T16:13:40Z,2025-01-07T20:36:30Z,52,4,0,minor,0.81,5.26,1.75,before,Dress,Cotton_Jersey,Olive,core,22.79,24,assembly_line,2x8h,13.6,20,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000045,WO000007,SO00564,SKU0014,F1,F1-L3,QC_FINAL,Quality,2025-01-07T20:46:05Z,2025-01-07T21:27:27Z,52,3,2,minor,1.75,0.62,0.28,before,Dress,Cotton_Jersey,Olive,core,22.79,24,sewing_cell,1x10h,8.5,12.5,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000046,WO000007,SO00564,SKU0014,F1,F1-L3,REWORK,Rework,2025-01-07T22:00:17Z,2025-01-07T22:03:26Z,2,0,0,none,0,0.06,0.01,before,Dress,Cotton_Jersey,Olive,core,22.79,24,sewing_cell,1x10h,8.5,12.5,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000047,WO000007,SO00564,SKU0014,F1,F1-L2,PACK,Packing,2025-01-07T22:18:47Z,2025-01-07T23:46:49Z,52,0,0,minor,1.29,1.32,0.59,before,Dress,Cotton_Jersey,Olive,core,22.79,24,modular_line,3x8h,20.4,30,CUST0028,2025-01-02,2025-01-19,46,10.55,Std,2025-01-06
EV0000048,WO000008,SO00006,SKU0007,F1,F1-L2,CUT,Cutting,2025-01-08T09:30:28Z,2025-01-08T17:58:05Z,140,3,0,start_of_day,13.34,7.61,8.46,before,Dress,Cotton_Jersey,Navy,extended,18.67,24,modular_line,3x8h,20.4,30,CUST0013,2025-01-02,2025-01-21,135,11.07,Std,2025-01-06
EV0000049,WO000008,SO00006,SKU0007,F1,F1-L2,SEW,Sewing,2025-01-08T18:33:49Z,2025-01-11T01:18:28Z,140,1,0,minor,4.08,87.59,54.74,before,Dress,Cotton_Jersey,Navy,extended,18.67,24,modular_line,3x8h,20.4,30,CUST0013,2025-01-02,2025-01-21,135,11.07,Std,2025-01-06
EV0000050,WO000008,SO00006,SKU0007,F1,F1-L2,QC_INLINE,Quality,2025-01-11T02:22:39Z,2025-01-11T03:44:59Z,140,3,2,minor,1.74,1.23,0.55,before,Dress,Cotton_Jersey,Navy,extended,18.67,24,modular_line,3x8h,20.4,30,CUST0013,2025-01-02,2025-01-21,135,11.07,Std,2025-01-06
EV0000051,WO000008,SO00006,SKU0007,F1,F1-L3,FINISH,Finishing,2025-01-11T04:20:57Z,2025-01-11T16:00:59Z,140,1,0,minor,4.3,14,4.67,before,Dress,Cotton_Jersey,Navy,extended,18.67,24,sewing_cell,1x10h,8.5,12.5,CUST0013,2025-01-02,2025-01-21,135,11.07,Std,2025-01-06
EV0000052,WO000008,SO00006,SKU0007,F1,F1-L3,QC_FINAL,Quality,2025-01-11T16:13:25Z,2025-01-11T18:13:15Z,140,8,4,minor,0.82,1.8,0.8,before,Dress,Cotton_Jersey,Navy,extended,18.67,24,sewing_cell,1x10h,8.5,12.5,CUST0013,2025-01-02,2025-01-21,135,11.07,Std,2025-01-06
EV0000053,WO000008,SO00006,SKU0007,F1,F1-L1,PACK,Packing,2025-01-11T18:24:32Z,2025-01-11T21:58:52Z,140,2,0,minor,1.78,3.22,1.43,before,Dress,Cotton_Jersey,Navy,extended,18.67,24,assembly_line,2x8h,13.6,20,CUST0013,2025-01-02,2025-01-21,135,11.07,Std,2025-01-06
EV0000054,WO000009,SO00562,SKU0001,F1,F1-L2,CUT,Cutting,2025-01-03T09:17:27Z,2025-01-03T13:56:31Z,62,0,0,start_of_day,8.22,4.19,4.65,before,Dress,Poly_Spandex,Red,core,24.34,24,modular_line,3x8h,20.4,30,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000055,WO000009,SO00562,SKU0001,F1,F1-L3,SEW,Sewing,2025-01-03T14:04:02Z,2025-01-04T20:08:02Z,62,2,0,minor,7.17,48.11,30.07,before,Dress,Poly_Spandex,Red,core,24.34,24,sewing_cell,1x10h,8.5,12.5,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000056,WO000009,SO00562,SKU0001,F1,F1-L1,QC_INLINE,Quality,2025-01-04T20:42:16Z,2025-01-04T21:24:05Z,62,4,2,minor,2.1,0.63,0.28,before,Dress,Poly_Spandex,Red,core,24.34,24,assembly_line,2x8h,13.6,20,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000057,WO000009,SO00562,SKU0001,F1,F1-L3,FINISH,Finishing,2025-01-04T21:48:11Z,2025-01-05T03:07:31Z,62,1,0,minor,1.61,6.39,2.13,before,Dress,Poly_Spandex,Red,core,24.34,24,sewing_cell,1x10h,8.5,12.5,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000058,WO000009,SO00562,SKU0001,F1,F1-L2,QC_FINAL,Quality,2025-01-05T03:18:49Z,2025-01-05T04:04:45Z,62,3,2,minor,2.81,0.69,0.31,before,Dress,Poly_Spandex,Red,core,24.34,24,modular_line,3x8h,20.4,30,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000059,WO000009,SO00562,SKU0001,F1,F1-L2,REWORK,Rework,2025-01-05T05:26:01Z,2025-01-05T05:31:35Z,2,0,0,none,0,0.1,0.02,before,Dress,Poly_Spandex,Red,core,24.34,24,modular_line,3x8h,20.4,30,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000060,WO000009,SO00562,SKU0001,F1,F1-L3,PACK,Packing,2025-01-05T05:42:47Z,2025-01-05T07:44:19Z,62,2,0,minor,3.29,1.82,0.81,before,Dress,Poly_Spandex,Red,core,24.34,24,sewing_cell,1x10h,8.5,12.5,CUST0007,2025-01-02,2025-01-09,56,9.95,Std,2024-12-30
EV0000061,WO000010,SO00550,SKU0020,F2,F2-L2,CUT,Cutting,2025-01-03T08:32:51Z,2025-01-03T13:54:31Z,99,3,0,start_of_day,5.7,4.83,5.36,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,sewing_cell,2x8h,13.6,20,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000062,WO000010,SO00550,SKU0020,F2,F2-L3,SEW,Sewing,2025-01-03T16:04:03Z,2025-01-05T00:26:17Z,99,2,0,minor,13.47,51.79,32.37,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,sewing_cell,1x10h,8.5,12.5,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000063,WO000010,SO00550,SKU0020,F2,F2-L3,QC_INLINE,Quality,2025-01-05T01:22:54Z,2025-01-05T02:31:36Z,99,2,1,minor,2.53,1.03,0.46,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,sewing_cell,1x10h,8.5,12.5,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000064,WO000010,SO00550,SKU0020,F2,F2-L3,REWORK,Rework,2025-01-05T02:50:29Z,2025-01-05T02:51:40Z,1,0,0,none,0,0.02,0,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,sewing_cell,1x10h,8.5,12.5,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000065,WO000010,SO00550,SKU0020,F2,F2-L1,FINISH,Finishing,2025-01-05T03:17:08Z,2025-01-05T09:04:46Z,99,1,0,minor,1.99,6.95,2.32,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,assembly_line,3x8h,20.4,30,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000066,WO000010,SO00550,SKU0020,F2,F2-L1,QC_FINAL,Quality,2025-01-05T09:15:59Z,2025-01-05T11:01:05Z,99,2,1,minor,3.7,1.58,0.7,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,assembly_line,3x8h,20.4,30,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000067,WO000010,SO00550,SKU0020,F2,F2-L1,REWORK,Rework,2025-01-05T11:59:22Z,2025-01-05T12:01:30Z,1,0,0,none,0,0.04,0.01,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,assembly_line,3x8h,20.4,30,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000068,WO000010,SO00550,SKU0020,F2,F2-L3,PACK,Packing,2025-01-05T12:09:27Z,2025-01-05T15:03:26Z,99,0,0,minor,1.88,2.61,1.16,before,Hoodie,Cotton_Jersey,Black,core,20.3,12,sewing_cell,1x10h,8.5,12.5,CUST0032,2025-01-02,2025-01-14,90,19.53,Std,2024-12-30
EV0000069,WO000011,SO00569,SKU0029,F1,F1-L3,CUT,Cutting,2025-01-04T10:12:03Z,2025-01-04T13:04:54Z,63,3,0,start_of_day,7.87,2.59,2.88,before,Tee,French_Terry,Olive,core,6,24,sewing_cell,1x10h,8.5,12.5,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000070,WO000011,SO00569,SKU0029,F1,F1-L3,SEW,Sewing,2025-01-04T13:46:14Z,2025-01-04T18:43:24Z,63,2,0,minor,5.6,7.92,4.95,before,Tee,French_Terry,Olive,core,6,24,sewing_cell,1x10h,8.5,12.5,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000071,WO000011,SO00569,SKU0029,F1,F1-L2,QC_INLINE,Quality,2025-01-04T19:56:46Z,2025-01-04T20:30:38Z,63,3,2,minor,4.2,0.51,0.23,before,Tee,French_Terry,Olive,core,6,24,modular_line,3x8h,20.4,30,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000072,WO000011,SO00569,SKU0029,F1,F1-L2,REWORK,Rework,2025-01-04T20:55:19Z,2025-01-04T20:58:25Z,2,0,0,none,0,0.06,0.01,before,Tee,French_Terry,Olive,core,6,24,modular_line,3x8h,20.4,30,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000073,WO000011,SO00569,SKU0029,F1,F1-L2,FINISH,Finishing,2025-01-04T21:09:58Z,2025-01-05T00:06:39Z,63,1,0,minor,0.8,3.53,1.18,before,Tee,French_Terry,Olive,core,6,24,modular_line,3x8h,20.4,30,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000074,WO000011,SO00569,SKU0029,F1,F1-L3,QC_FINAL,Quality,2025-01-05T00:26:46Z,2025-01-05T01:21:39Z,63,2,1,minor,1,0.82,0.37,before,Tee,French_Terry,Olive,core,6,24,sewing_cell,1x10h,8.5,12.5,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000075,WO000011,SO00569,SKU0029,F1,F1-L1,PACK,Packing,2025-01-05T01:32:54Z,2025-01-05T03:11:44Z,63,1,0,minor,0.78,1.48,0.66,before,Tee,French_Terry,Olive,core,6,24,assembly_line,2x8h,13.6,20,CUST0011,2025-01-03,2025-01-18,61,13.86,Std,2024-12-30
EV0000076,WO000012,SO00242,SKU0006,F2,F2-L1,CUT,Cutting,2025-01-06T08:13:18Z,2025-01-06T20:14:19Z,147,2,0,start_of_day,14.69,10.82,12.02,before,Jacket,French_Terry,White,core,25.25,36,assembly_line,3x8h,20.4,30,CUST0007,2025-01-03,2025-01-20,140,10.13,Std,2025-01-06
EV0000077,WO000012,SO00242,SKU0006,F2,F2-L3,SEW,Sewing,2025-01-06T21:21:39Z,2025-01-10T03:04:34Z,147,4,0,minor,16.21,124.34,77.72,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,1x10h,8.5,12.5,CUST0007,2025-01-03,2025-01-20,140,10.13,Std,2025-01-06
EV0000078,WO000012,SO00242,SKU0006,F2,F2-L3,QC_INLINE,Quality,2025-01-10T05:41:45Z,2025-01-10T07:24:09Z,147,7,4,minor,2.9,1.54,0.68,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,1x10h,8.5,12.5,CUST0007,2025-01-03,2025-01-20,140,10.13,Std,2025-01-06
