week,produced_qty,rejected_qty,rework_qty,avg_cycle_time_min,p95_cycle_time_min,avg_waiting_min,inspections,fail_or_hold,defects_found_qty,shipments,avg_lateness_days,p95_lateness_days,demand_qty,orders,scenario
2025-03-31/2025-04-06,26254,705,185,723.7326631721297,3155.2087692083255,33.72511320971303,38,5,82,23.0,1.0869565217391304,3.8999999999999986,3682.0,28.0,before
2025-04-07/2025-04-13,23698,297,105,537.589343922906,2300.221735113332,17.548765784839357,47,7,27,26.0,0.0,0.0,4087.0,29.0,after
2025-04-07/2025-04-13,25202,759,188,647.7706582551283,3278.5014588149998,33.98581612984934,31,13,200,22.0,0.09090909090909091,0.9499999999999993,4589.0,30.0,before
2025-04-14/2025-04-20,20450,258,85,499.4717621122754,2109.9483751866665,16.802493773356808,44,2,2,23.0,0.0,0.0,2950.0,23.0,after
2025-04-14/2025-04-20,27297,901,266,642.115425338547,2711.1423273049986,39.56762413363274,44,14,146,21.0,0.38095238095238093,2.0,3193.0,25.0,before
2025-04-21/2025-04-27,19575,231,79,483.3712611076923,2087.1466131966667,16.23337449342723,37,8,12,24.0,0.25,2.0,2936.0,26.0,after
2025-04-21/2025-04-27,22424,634,163,689.4528979155856,3681.67646097666,34.680419123584905,35,7,50,19.0,0.631578947368421,3.0,3683.0,27.0,before
2025-04-28/2025-05-04,20346,235,68,571.065242027877,2979.3691852716674,17.868939729953382,39,2,14,21.0,0.047619047619047616,0.0,4016.0,28.0,after
2025-04-28/2025-05-04,27122,762,213,611.4495091739394,2953.5642153191607,39.45998902745614,38,9,74,27.0,0.7407407407407407,5.0,3496.0,30.0,before
2025-05-05/2025-05-11,18231,210,63,515.8207522744517,2316.234161919999,16.468795951808787,33,7,33,15.0,0.0,0.0,2194.0,18.0,after
2025-05-05/2025-05-11,21734,569,134,655.0403169530965,3480.3683755700013,40.09921504177632,35,6,77,16.0,0.375,3.0,4140.0,29.0,before
2025-05-12/2025-05-18,14855,182,56,624.1457116589081,3068.8410227249997,16.715024804561402,26,3,27,23.0,0.0,0.0,2764.0,23.0,after
2025-05-12/2025-05-18,23882,651,181,551.3557411169244,2496.5378130091667,32.90403004520958,51,10,99,20.0,0.25,2.0500000000000007,3246.0,26.0,before
2025-05-19/2025-05-25,18775,222,60,601.9618606950106,2609.9766517366656,17.54539865658915,32,4,16,21.0,0.19047619047619047,1.0,3877.0,25.0,after
2025-05-19/2025-05-25,13969,384,101,611.4465357126521,2820.3546481766634,36.42352549689266,24,6,50,16.0,0.25,2.0,2517.0,20.0,before
2025-05-26/2025-06-01,21524,262,91,478.28788111261514,1979.2881402166668,16.537760314240504,40,6,35,19.0,0.0,0.0,3303.0,27.0,after
2025-05-26/2025-06-01,22518,639,156,595.7763467274611,2709.2733201899946,34.12191552939394,35,8,52,31.0,0.0,0.0,3806.0,26.0,before
2025-06-02/2025-06-08,20051,238,89,465.2996521345946,1899.9349873233316,16.73607280405983,33,5,27,19.0,0.0,0.0,2779.0,34.0,after
2025-06-02/2025-06-08,23300,633,163,725.2366196908333,3139.5031242499927,39.03024447174393,32,7,45,19.0,1.0526315789473684,4.0,3228.0,26.0,before
2025-06-09/2025-06-15,19717,249,72,418.66486479911504,2046.4954791041664,16.390014866934045,39,9,41,22.0,0.0,0.0,3316.0,34.0,after
2025-06-09/2025-06-15,20655,554,159,595.0865381437853,2829.19175754666,33.89900816322223,45,10,38,25.0,0.6,1.0,2342.0,25.0,before
2025-06-16/2025-06-22,18604,218,71,431.1277555227749,2198.689757108333,16.46493887469512,31,3,14,23.0,0.0,0.0,2706.0,23.0,after
2025-06-16/2025-06-22,19460,562,147,506.5322374107945,2619.285190299997,34.0797224322549,34,10,84,19.0,0.8421052631578947,4.0,4316.0,35.0,before
2025-06-23/2025-06-29,17740,222,68,458.4714522050687,2438.204097760833,15.505080882919255,31,7,15,24.0,0.4166666666666667,2.0,2878.0,31.0,after
2025-06-23/2025-06-29,26910,718,178,509.4498436799095,2290.7861182849997,36.723521083409786,52,7,41,25.0,0.0,0.0,3229.0,30.0,before
2025-06-30/2025-07-06,14445,161,56,356.1692581081018,1319.4655347858316,14.808128760185186,32,4,6,24.0,0.0,0.0,625.0,6.0,after
2025-06-30/2025-07-06,16362,435,116,490.2061086516548,2149.2579271333334,32.09560933866666,36,6,44,22.0,0.5454545454545454,2.0,422.0,6.0,before
2025-07-07/2025-07-13,297,2,1,81.33033475333333,187.84585034999998,13.00023955,2,0,0,16.0,0.0,0.0,,,after
2025-07-07/2025-07-13,2569,80,29,276.0237607482456,794.3031695149973,33.53042881574074,4,2,5,25.0,0.52,3.0,,,before
